TradeMaximizer Version 1.4a
Options: ALLOW-DUMMIES LINEAR-PRIORITIES REQUIRE-COLONS REQUIRE-USERNAMES SHOW-MISSING SMALL-STEP=0 BIG-STEP=1

Input Checksum: 19d9f1d4e29eba6388ab9ad9a3e976c6
ERRORS:
**** Item %BULLET for user (JINGOWAWA) is repeated in want list for 1314.
**** Item %BULLET for user (JINGOWAWA) is repeated in want list for 1317.
**** Item %BULLET for user (JINGOWAWA) is repeated in want list for 1322.
**** Item %ICAION for user (HYNIKS) is repeated in want list for 1769.
**** Item %TSUKUYUMI_FULL_MOON_DOWN_SECOND_EDITION____TSUKUYUMI_SUNRISE_KINGDOM___TSUKUYUMI_CHRONOMASTERS___TSUKUYUMI_SENTINELS___TSUKUYUMI_FULL_MOON_DOWN_FIREBORN_EXPANSION___TSUKUYUMI_FULL_MOON_DOWN_LORDS_OF_THE_LOST_SEA_EXPANSION___TSUKUYUMI_FULL_MOON_DOWN_SENTINELS_EXPANSION for user (HYNIKS) is repeated in want list for 1771.
**** Item 2042 is repeated in want list for 245.
**** Item 2042 is repeated in want list for 2523.
**** Item 2042 is repeated in want list for 513.
**** Item 2042 is repeated in want list for 520.
**** Item 217 is repeated in want list for 2523.
**** Item 217 is repeated in want list for 513.
**** Item 217 is repeated in want list for 520.
**** Item 2427 is repeated in want list for 2068.
**** Item 2873 is repeated in want list for 2806.
**** Item 2873 is repeated in want list for 2809.
**** Item 2873 is repeated in want list for 2815.
**** Item 2873 is repeated in want list for 2816.
**** Item 2873 is repeated in want list for 2821.
**** Item 2873 is repeated in want list for 2831.
**** Item 2934 is repeated in want list for 2379.
**** Item 2934 is repeated in want list for 2380.
**** Item 2934 is repeated in want list for 2382.
**** Item 2934 is repeated in want list for 2383.
**** Item 2934 is repeated in want list for 2384.
**** Item 2934 is repeated in want list for 2385.
**** Item 2934 is repeated in want list for 2386.
**** Item 2934 is repeated in want list for 2388.
**** Item 2934 is repeated in want list for 2392.
**** Item 2934 is repeated in want list for 2395.
**** Item 2934 is repeated in want list for 2406.
**** Item 2934 is repeated in want list for 2407.
**** Item 2934 is repeated in want list for 2410.
**** Item 2934 is repeated in want list for 2412.
**** Item 2934 is repeated in want list for 2414.
**** Item 2934 is repeated in want list for 2415.
**** Item 2934 is repeated in want list for 2419.
**** Item 2934 is repeated in want list for 2423.
**** Item 834 is repeated in want list for 2042.
**** Item 96 is repeated in want list for 2074.
**** Unknown item %7_WONDERS_DUEL for user (PIOTREKPIOTREK) (1 occurrence)
**** Unknown item %HEGEMONY_LEAD_YOUR_CLASS_TO_VICTORY_HEGEMONY_LEAD_YOUR_CLASS_TO_VICTORY_CRISIS_CONTROL_HEGEMONY_LEAD_YOUR_CLASS_TO_VICTORY_HISTORICAL_EVENTS for user (YAVI) (4 occurrences)
**** Unknown item %HIGH_FRONTIER_4_ALL for user (YAVI) (2 occurrences)
**** Unknown item %KNOCKDOWN_VOLUME_II_KNOCKDOWN_VOLUME_III for user (MEFIUG) (19 occurrences)
**** Unknown item %WAR_CHEST for user (YOSEK) (1 occurrence)
**** Unknown item 1146, (1 occurrence)
**** Unknown item 12214 (1 occurrence)
**** Unknown item 12230 (1 occurrence)
**** Unknown item 1310, (1 occurrence)
**** Unknown item 1313, (4 occurrences)
**** Unknown item 1372, (4 occurrences)
**** Unknown item 1375, (3 occurrences)
**** Unknown item 1404209 (1 occurrence)
**** Unknown item 1487, (3 occurrences)
**** Unknown item 154 (1 occurrence)
**** Unknown item 155 (3 occurrences)
**** Unknown item 156 (4 occurrences)
**** Unknown item 158 (3 occurrences)
**** Unknown item 159 (1 occurrence)
**** Unknown item 160 (2 occurrences)
**** Unknown item 161 (10 occurrences)
**** Unknown item 1615, (1 occurrence)
**** Unknown item 162 (12 occurrences)
**** Unknown item 1623, (2 occurrences)
**** Unknown item 163 (36 occurrences)
**** Unknown item 1641, (2 occurrences)
**** Unknown item 1658, (4 occurrences)
**** Unknown item 1688, (2 occurrences)
**** Unknown item 1698, (1 occurrence)
**** Unknown item 1753, (1 occurrence)
**** Unknown item 1875, (3 occurrences)
**** Unknown item 1956, (4 occurrences)
**** Unknown item 2019 (10 occurrences)
**** Unknown item 204, (4 occurrences)
**** Unknown item 2043 (15 occurrences)
**** Unknown item 2046, (5 occurrences)
**** Unknown item 2069, (1 occurrence)
**** Unknown item 208, (1 occurrence)
**** Unknown item 2089 (3 occurrences)
**** Unknown item 2092 (2 occurrences)
**** Unknown item 2102, (3 occurrences)
**** Unknown item 211, (2 occurrences)
**** Unknown item 2149, (3 occurrences)
**** Unknown item 2185 (1 occurrence)
**** Unknown item 2187 (1 occurrence)
**** Unknown item 2190 (25 occurrences)
**** Unknown item 2215, (1 occurrence)
**** Unknown item 237, (3 occurrences)
**** Unknown item 2401 (55 occurrences)
**** Unknown item 2434 (1 occurrence)
**** Unknown item 244 (29 occurrences)
**** Unknown item 2440 (40 occurrences)
**** Unknown item 2448 (2 occurrences)
**** Unknown item 2457 (29 occurrences)
**** Unknown item 2459 (2 occurrences)
**** Unknown item 2479 (40 occurrences)
**** Unknown item 24992286 (1 occurrence)
**** Unknown item 266, (1 occurrence)
**** Unknown item 2713 (5 occurrences)
**** Unknown item 2715 (17 occurrences)
**** Unknown item 2730, (2 occurrences)
**** Unknown item 2748 (9 occurrences)
**** Unknown item 2765 (3 occurrences)
**** Unknown item 2947, (1 occurrence)
**** Unknown item 3066 (38 occurrences)
**** Unknown item 386, (4 occurrences)
**** Unknown item 390, (3 occurrences)
**** Unknown item 430 (12 occurrences)
**** Unknown item 560, (2 occurrences)
**** Unknown item 631 (1 occurrence)
**** Unknown item 638 (1 occurrence)
**** Unknown item 660, (4 occurrences)
**** Unknown item 681, (3 occurrences)
**** Unknown item 755, (4 occurrences)
**** Unknown item 781 (58 occurrences)
**** Unknown item 782 (56 occurrences)
**** Unknown item 844 (1 occurrence)
**** Unknown item 863, (3 occurrences)
**** Unknown item LOST_RUINS_OF_ARNAK (6 occurrences)
**** Unknown item THESAUROS (1 occurrence)

TRADE LOOPS (498 total trades):

(DOMBAS) 2298          receives (LISEK2000) 1944
(DOMBAS) 2299                      does not trade
(DOMBAS) 2300                      does not trade
(DOMBAS) 2301                      does not trade
(DOMBAS) 2302                      does not trade
(DOMBAS) 2303                      does not trade
(DOMBAS) 2304                      does not trade
(DOMBAS) 2305                      does not trade
(DOMBAS) 2306                      does not trade
(DONATELLO23) 3020                 does not trade
(DONATELLO23) 3053                 does not trade
(DZANOMARO) 1351                   does not trade
(DZANOMARO) 641        receives (MATHANDELJR90) 2442   and sends to (PLANSZOWIEC) 2677
(DZANOMARO) 643        receives (RUTRA1992) 2451       and sends to (ZABOWSKI) 892
(DZANOMARO) 644                    does not trade
(DZANOMARO) 645                    does not trade
(DZANOMARO) 646                    does not trade
(DZANOMARO) 647                    does not trade
(DZANOMARO) 648                    does not trade
(DZANOMARO) 993                    does not trade
(DZIUBELAS) 567                    does not trade
(DZIUBELAS) 568                    does not trade
(DZIUBELAS) 569                    does not trade
(DZIUBELAS) 570                    does not trade
(DZIUBELAS) 571                    does not trade
(DZIUBELAS) 572        receives (AMACHNO) 606          and sends to (GARG) 2212
(DZIUM8) 1047          receives (KONTRABAS) 1486       and sends to (ASYMETRI) 1349
(DZIUM8) 1048                      does not trade
(DZIUM8) 1049                      does not trade
(DZIUM8) 1050                      does not trade
(DZIUM8) 1051          receives (GROR) 2389            and sends to (LADZIK) 2776
(DZIUM8) 1052                      does not trade
(DZIUM8) 1053                      does not trade
(DZIUM8) 1054                      does not trade
(DZIUM8) 1674                      does not trade
(DZIUM8) 1675                      does not trade
(DZIUM8) 1676                      does not trade
(DZIUM8) 1692                      does not trade
(DZIUM8) 1693          receives (ZABOWSKI) 894         and sends to (REKAWIAN) 1603
(DZIUM8) 1695                      does not trade
(DZIUM8) 2505                      does not trade
(DZIUM8) 2510                      does not trade
(DZIUM8) 347                       does not trade
(DZIUM8) 349                       does not trade
(DZIUM8) 350                       does not trade
(DZIUM8) 351                       does not trade
(DZIUM8) 352                       does not trade
(DZIUM8) 353                       does not trade
(DZIUM8) 354                       does not trade
(DZIUM8) 355                       does not trade
(DZIUM8) 356           receives (PIOTR1) 789           and sends to (NIWGNIP) 1524
(DZIUM8) 357                       does not trade
(DZIUM8) 358                       does not trade
(DZIUM8) 359                       does not trade
(DZIUM8) 360                       does not trade
(DZIUM8) 361                       does not trade
(EMGIEER) 1833                     does not trade
(EMGIEER) 1834                     does not trade
(EMGIEER) 1835                     does not trade
(EMGIEER) 1836                     does not trade
(EMGIEER) 1837                     does not trade
(EMGIEER) 1838                     does not trade
(EMGIEER) 1839         receives (YAVI) 2469            and sends to (MIZIO) 2604
(EMGIEER) 1845         receives (RAISTLINJEDYNY) 383   and sends to (JAKUBWAKIEC) 655
(EMGIEER) 1847                     does not trade
(EMGIEER) 1851                     does not trade
(EMGIEER) 1853                     does not trade
(EMGIEER) 1854                     does not trade
(EMGIEER) 1856                     does not trade
(EMGIEER) 1857                     does not trade
(ENDZITREBRON) 57                  does not trade
(ENDZITREBRON) 58      receives (OMAM1234) 812         and sends to (BAAKA) 1046
(EQUILIBRIUMPL) 362                does not trade
(EQUILIBRIUMPL) 363                does not trade
(EQUILIBRIUMPL) 364                does not trade
(EQUILIBRIUMPL) 365                does not trade
(EQUILIBRIUMPL) 366                does not trade
(EQUILIBRIUMPL) 367                does not trade
(EQUILIBRIUMPL) 368    receives (ROSETA) 1636          and sends to (ASYMETRI) 1332
(EQUILIBRIUMPL) 369                does not trade
(EQUILIBRIUMPL) 370                does not trade
(EQUILIBRIUMPL) 371                does not trade
(EQUILIBRIUMPL) 372                does not trade
(EQUILIBRIUMPL) 373                does not trade
(EQUILIBRIUMPL) 374                does not trade
(EQUILIBRIUMPL) 375                does not trade
(EQUILIBRIUMPL) 376                does not trade
(EQUILIBRIUMPL) 377                does not trade
(EQUILIBRIUMPL) 378                does not trade
(EQUILIBRIUMPL) 379                does not trade
(EQUILIBRIUMPL) 380                does not trade
(EQUILIBRIUMPL) 382                does not trade
(EWAO) 2584                        does not trade
(EWAO) 2587                        does not trade
(EWAO) 591             receives (YNIDHOGG) 2443        and sends to (TOPBGG) 1361
(FANTAZYN) 657                     does not trade
(FANTAZYN) 658         receives (CLAVI) 2263           and sends to (ZABOWSKI) 871
(FANTAZYN) 659                     does not trade
(FANTAZYN) 660                     does not trade
(FANTAZYN) 661                     does not trade
(FINNAN) 1580                      does not trade
(FINNAN) 1588                      does not trade
(FINNAN) 1590                      does not trade
(FINNAN) 1592                      does not trade
(FINNAN) 1594                      does not trade
(FINNAN) 2020                      does not trade
(FINNAN) 2021                      does not trade
(FINNAN) 2022                      does not trade
(FINNAN) 2023                      does not trade
(FINNAN) 2024                      does not trade
(FINNAN) 2025                      does not trade
(FINNAN) 2026                      does not trade
(FINNAN) 2027                      does not trade
(FINNAN) 2028                      does not trade
(FINNAN) 2029                      does not trade
(FIZOLOF) 783                      does not trade
(FIZOLOF) 784          receives (RAISTLINJEDYNY) 469   and sends to (BARTXX86) 866
(FRAMZ_PL) 1591                    does not trade
(FRAMZ_PL) 1593                    does not trade
(FRAMZ_PL) 1595                    does not trade
(FRAMZ_PL) 1596                    does not trade
(FRAMZ_PL) 1597                    does not trade
(FRAMZ_PL) 1598                    does not trade
(FRAMZ_PL) 1599                    does not trade
(FRAMZ_PL) 1600                    does not trade
(FRAMZ_PL) 1681                    does not trade
(FRAMZ_PL) 2103                    does not trade
(FURAN) 2742                       does not trade
(FURAN) 854                        does not trade
(FURAN) 855                        does not trade
(FURAN) 856                        does not trade
(FURAN) 859                        does not trade
(FURAN) 860            receives (WILCZELYKO) 2105      and sends to (KONRADSTPN) 67
(FYEI) 775             receives (PLANSZOWIEC) 3048     and sends to (RUTRA1992) 2421
(FYEI) 777             receives (CZWARTY) 453          and sends to (PLANSZOWIEC) 2692
(FYEI) 778                         does not trade
(GAMBIT_GGK) 1683      receives (MELUSINA) 177         and sends to (JIMI_) 2439
(GAMBIT_GGK) 1684                  does not trade
(GAMBIT_GGK) 1685                  does not trade
(GAMBIT_GGK) 1686                  does not trade
(GAMBIT_GGK) 1687                  does not trade
(GAMBIT_GGK) 2596                  does not trade
(GARG) 2154                        does not trade
(GARG) 2158                        does not trade
(GARG) 2168                        does not trade
(GARG) 2169                        does not trade
(GARG) 2170                        does not trade
(GARG) 2171                        does not trade
(GARG) 2172                        does not trade
(GARG) 2174                        does not trade
(GARG) 2175                        does not trade
(GARG) 2176                        does not trade
(GARG) 2178                        does not trade
(GARG) 2179            receives (ARCANUM17) 1059       and sends to (WOOL_F) 2850
(GARG) 2180                        does not trade
(GARG) 2181                        does not trade
(GARG) 2182            receives (LIMPINGMAN) 1765      and sends to (PANCOR) 1239
(GARG) 2183                        does not trade
(GARG) 2184                        does not trade
(GARG) 2186                        does not trade
(GARG) 2188                        does not trade
(GARG) 2189                        does not trade
(GARG) 2192                        does not trade
(GARG) 2193                        does not trade
(GARG) 2194                        does not trade
(GARG) 2195                        does not trade
(GARG) 2196                        does not trade
(GARG) 2197                        does not trade
(GARG) 2198                        does not trade
(GARG) 2199                        does not trade
(GARG) 2200                        does not trade
(GARG) 2201                        does not trade
(GARG) 2202                        does not trade
(GARG) 2203                        does not trade
(GARG) 2204                        does not trade
(GARG) 2205                        does not trade
(GARG) 2206                        does not trade
(GARG) 2207                        does not trade
(GARG) 2208            receives (MISIENCJUSZ) 437      and sends to (SCRABER) 1392
(GARG) 2209                        does not trade
(GARG) 2210                        does not trade
(GARG) 2211            receives (VOYDEN) 2772          and sends to (PANCOR) 2682
(GARG) 2212            receives (DZIUBELAS) 572        and sends to (PATRYKGALKA) 2286
(GARG) 2213                        does not trade
(GARG) 2214                        does not trade
(GARG) 2216                        does not trade
(GARG) 2217                        does not trade
(GARG) 2218                        does not trade
(GARG) 2219                        does not trade
(GARG) 2220                        does not trade
(GARG) 2222                        does not trade
(GARG) 2225                        does not trade
(GARG) 2227                        does not trade
(GARG) 2230                        does not trade
(GARG) 2233                        does not trade
(GARG) 2236            receives (UNKNOWN0) 1613        and sends to (HARUN) 1830
(GARG) 2238                        does not trade
(GARG) 2240                        does not trade
(GARG) 2242                        does not trade
(GARG) 2244                        does not trade
(GARG) 2247                        does not trade
(GARG) 2248                        does not trade
(GARG) 2249                        does not trade
(GARG) 2251                        does not trade
(GARG) 2252                        does not trade
(GARG) 2254                        does not trade
(GARG) 2255                        does not trade
(GARG) 2256                        does not trade
(GARG) 2258                        does not trade
(GARG) 2259                        does not trade
(GARG) 2260            receives (GRZECHOO104) 2798     and sends to (GROR) 2389
(GARG) 2262                        does not trade
(GARG) 2264                        does not trade
(GARG) 2265                        does not trade
(GARG) 2267                        does not trade
(GARG) 2268                        does not trade
(GARG) 2269                        does not trade
(GARG) 2272                        does not trade
(GARG) 2273            receives (PATRYKGALKA) 263      and sends to (BOBQ) 2163
(GARG) 2274                        does not trade
(GARG) 2275                        does not trade
(GARG) 2276                        does not trade
(GARG) 2277                        does not trade
(GARG) 2278                        does not trade
(GILMORE8) 2356                    does not trade
(GILMORE8) 2357                    does not trade
(GILMORE8) 2358                    does not trade
(GINET1) 2931                      does not trade
(GINET1) 2932          receives (BARTXX86) 672         and sends to (LADZIK) 2764
(GINET1) 2933                      does not trade
(GINET1) 2934          receives (YNIDHOGG) 2409        and sends to (JIMMY_DURDEN) 668
(GINET1) 2935                      does not trade
(GINET1) 2936          receives (CZOCHRUN) 857         and sends to (PUSHEENEIRO) 1036
(GINET1) 2937                      does not trade
(GINET1) 2938          receives (PANCOR) 2668          and sends to (KONRADSTPN) 78
(GINET1) 2939                      does not trade
(GINET1) 2940                      does not trade
(GINET1) 2941                      does not trade
(GINET1) 2942                      does not trade
(GINET1) 2943                      does not trade
(GINET1) 2944          receives (QRZY88) 2509          and sends to (LISEK2000) 2054
(GINET1) 2945                      does not trade
(GODUNOW) 201                      does not trade
(GODUNOW) 202                      does not trade
(GODUNOW) 203                      does not trade
(GODUNOW) 204          receives (STACHU772) 521        and sends to (AMACHNO) 598
(GODUNOW) 205                      does not trade
(GOLEBIOWSKI) 134      receives (ASTRIELL88) 1664      and sends to (KDSZ) 620
(GRABOS_PL) 1389                   does not trade
(GREKOL) 1368                      does not trade
(GREKOL) 1369                      does not trade
(GREKOL) 1370                      does not trade
(GREKOL) 1371                      does not trade
(GROR) 2379            receives (TOPBGG) 144           and sends to (KARTMAN7) 1292
(GROR) 2380                        does not trade
(GROR) 2382                        does not trade
(GROR) 2383                        does not trade
(GROR) 2384                        does not trade
(GROR) 2385                        does not trade
(GROR) 2386                        does not trade
(GROR) 2388                        does not trade
(GROR) 2389            receives (GARG) 2260            and sends to (DZIUM8) 1051
(GROR) 2390                        does not trade
(GROR) 2392                        does not trade
(GROR) 2394            receives (HYNIKS) 1768          and sends to (ASYMETRI) 1358
(GROR) 2395                        does not trade
(GROR) 2399                        does not trade
(GROR) 2400            receives (ASYMETRI) 1332        and sends to (PANCOR) 1241
(GROR) 2405            receives (BARTXX86) 675         and sends to (LUKI364) 760
(GROR) 2406                        does not trade
(GROR) 2407                        does not trade
(GROR) 2410                        does not trade
(GROR) 2412                        does not trade
(GROR) 2414                        does not trade
(GROR) 2415                        does not trade
(GROR) 2419                        does not trade
(GROR) 2422            receives (SYDONIAA) 1           and sends to (CHARLIEVEGAN) 2926
(GROR) 2423                        does not trade
(GROR) 2427            receives (ASYMETRI) 1358        and sends to (ZABOWSKI) 908
(GROR) 2431                        does not trade
(GRYZLI83) 1500                    does not trade
(GRYZLI83) 1501                    does not trade
(GRYZLI83) 1528        receives (MARSINT) 1574         and sends to (BARTMAN71) 2530
(GRYZLI83) 1532                    does not trade
(GRYZLI83) 2159                    does not trade
(GRYZLI83) 540                     does not trade
(GRYZLI83) 541                     does not trade
(GRYZLI83) 542                     does not trade
(GRYZLI83) 543                     does not trade
(GRYZLI83) 545                     does not trade
(GRYZLI83) 546         receives (PTEROGROM) 1395       and sends to (CAFFREYRLS) 2075
(GRYZLI83) 547                     does not trade
(GRYZLI83) 549                     does not trade
(GRYZLI83) 550                     does not trade
(GRYZLI83) 551                     does not trade
(GRYZLI83) 552                     does not trade
(GRYZLI83) 554                     does not trade
(GRYZLI83) 555                     does not trade
(GRYZLI83) 556                     does not trade
(GRYZLI83) 557                     does not trade
(GRYZLI83) 558                     does not trade
(GRYZLI83) 559                     does not trade
(GRYZLI83) 561                     does not trade
(GRYZLI83) 562                     does not trade
(GRYZLI83) 563                     does not trade
(GRYZLI83) 564                     does not trade
(GRYZLI83) 565                     does not trade
(GRZECHOO104) 2708                 does not trade
(GRZECHOO104) 2711                 does not trade
(GRZECHOO104) 2717     receives (STACHUSTACH187) 536   and sends to (UNKNOWN0) 1613
(GRZECHOO104) 2721     receives (KEROVAN14) 240        and sends to (MELUSINA) 179
(GRZECHOO104) 2723                 does not trade
(GRZECHOO104) 2725                 does not trade
(GRZECHOO104) 2728                 does not trade
(GRZECHOO104) 2731                 does not trade
(GRZECHOO104) 2733                 does not trade
(GRZECHOO104) 2736                 does not trade
(GRZECHOO104) 2737                 does not trade
(GRZECHOO104) 2738                 does not trade
(GRZECHOO104) 2739                 does not trade
(GRZECHOO104) 2744     receives (VORONWE) 1620         and sends to (LONYY) 806
(GRZECHOO104) 2751                 does not trade
(GRZECHOO104) 2755                 does not trade
(GRZECHOO104) 2779                 does not trade
(GRZECHOO104) 2798     receives (KEROVAN14) 227        and sends to (GARG) 2260
(GRZZZ) 1858           receives (PLANSZOWIEC) 3050     and sends to (MANKOSLAW) 490
(GRZZZ) 1859                       does not trade
(HAPPOSAI) 1565                    does not trade
(HAPPOSAI) 1566                    does not trade
(HAPPOSAI) 1567                    does not trade
(HAPPOSAI) 1568                    does not trade
(HAPPOSAI) 1569                    does not trade
(HAPPOSAI) 732                     does not trade
(HAPPOSAI) 733         receives (RYSKAL) 1555          and sends to (TH13TEEN) 348
(HAPPOSAI) 734                     does not trade
(HAPPOSAI) 735         receives (SATINO4) 1411         and sends to (APIEJH) 191
(HAPPOSAI) 736                     does not trade
(HAPPOSAI) 737         receives (LAMAPATT) 2363        and sends to (SYDONIAA) 12
(HARDKOR) 2588                     does not trade
(HARDKOR) 480                      does not trade
(HARDKOR) 481          receives (BRZECHA) 635          and sends to (LISEK2000) 1948
(HARDKOR) 483                      does not trade
(HARDKOR) 484                      does not trade
(HARDKOR) 608                      does not trade
(HARDKOR) 955                      does not trade
(HARUN) 1827                       does not trade
(HARUN) 1829                       does not trade
(HARUN) 1830           receives (GARG) 2236            and sends to (VORONWE) 1617
(HAWKU93) 1000                     does not trade
(HAWKU93) 1044         receives (HEXONAUTA) 1444       and sends to (SWIROFF) 1848
(HAWKU93) 1045         receives (ZABOWSKI) 934         and sends to (ASYMETRI) 1342
(HAWKU93) 994                      does not trade
(HAWKU93) 995                      does not trade
(HAWKU93) 996                      does not trade
(HAWKU93) 997                      does not trade
(HAWKU93) 998                      does not trade
(HAWKU93) 999                      does not trade
(HELLOWEEN85) 2215                 does not trade
(HEXONAUTA) 1436                   does not trade
(HEXONAUTA) 1437                   does not trade
(HEXONAUTA) 1438                   does not trade
(HEXONAUTA) 1439                   does not trade
(HEXONAUTA) 1440                   does not trade
(HEXONAUTA) 1443                   does not trade
(HEXONAUTA) 1444       receives (PATRYKGALKA) 274      and sends to (HAWKU93) 1044
(HEXONAUTA) 1445                   does not trade
(HEXONAUTA) 1446                   does not trade
(HEXONAUTA) 1447                   does not trade
(HEXONAUTA) 1451                   does not trade
(HEXONAUTA) 2348                   does not trade
(HEXONAUTA) 2349                   does not trade
(HEXONAUTA) 2350                   does not trade
(HEXONAUTA) 2512                   does not trade
(HEXONAUTA) 2964                   does not trade
(HYNIKS) 1767                      does not trade
(HYNIKS) 1768          receives (LISEK2000) 2054       and sends to (GROR) 2394
(HYNIKS) 1769                      does not trade
(HYNIKS) 1771                      does not trade
(HYNIKS) 1774                      does not trade
(HYNIKS) 1775          receives (LIENTAL) 785          and sends to (SZAKET) 1689
(HYNIKS) 1776                      does not trade
(HYNIKS) 1777                      does not trade
(HYNIKS) 1779                      does not trade
(HYNIKS) 1780                      does not trade
(HYNIKS) 2352                      does not trade
(INZI21) 2569                      does not trade
(INZI21) 2573                      does not trade
(INZI21) 2574                      does not trade
(INZI21) 2575                      does not trade
(INZI21) 2576          receives (TOPBGG) 139           and sends to (KEROVAN14) 224
(INZI21) 2577                      does not trade
(INZI21) 2578                      does not trade
(INZI21) 2579                      does not trade
(INZI21) 2580                      does not trade
(INZI21) 2581                      does not trade
(INZI21) 2582                      does not trade
(INZI21) 2583                      does not trade
(ISKRANAPROCHY) 690    receives (MELUSINA) 173         and sends to (PANCOR) 3045
(ISKRANAPROCHY) 691    receives (WOOL_F) 2850          and sends to (AMACHNO) 606
(ISKRANAPROCHY) 692                does not trade
(ISKRANAPROCHY) 693                does not trade
(ISKRANAPROCHY) 694                does not trade
(ITSTHISGUYAGAIN) 443  receives (LADZIK) 2776          and sends to (PATRYKGALKA) 274
(ITSTHISGUYAGAIN) 445  receives (PHILM78) 1825         and sends to (PRZMKP) 59
(ITSTHISGUYAGAIN) 446  receives (CHARLIEVEGAN) 2924    and sends to (ASTRIELL88) 1665
(ITSTHISGUYAGAIN) 449  receives (MZEPTER) 828          and sends to (AMACHNO) 602
(ITTAMPL) 576                      does not trade
(ITTAMPL) 578          receives (MISIENCJUSZ) 433      and sends to (WOJCIECHS) 586
(ITTAMPL) 580          receives (AMACHNO) 604          and sends to (WOJCIECHS) 592
(ITTAMPL) 584                      does not trade
(JACOBPL) 2589         receives (UNKNOWN0) 842         and sends to (PUNIYA) 2453
(JACOBPL) 2601                     does not trade
(JACOBPL) 2608                     does not trade
(JACOBPL) 2611                     does not trade
(JACOBPL) 2612                     does not trade
(JACOBPL) 2616                     does not trade
(JAKUBWAKIEC) 652                  does not trade
(JAKUBWAKIEC) 653      receives (KEROVAN14) 2565       and sends to (SVVITALEK) 2165
(JAKUBWAKIEC) 654      receives (SWIROFF) 1848         and sends to (RAFAL1991) 703
(JAKUBWAKIEC) 655      receives (EMGIEER) 1845         and sends to (CZOCHRUN) 857
(JAKUBWAKIEC) 656      receives (BOBQ) 2163            and sends to (YOORECK) 153
(JAKUBWAKIEC) 662                  does not trade
(JAKUBWAKIEC) 663      receives (BISTIA) 1460          and sends to (BARTXX86) 674
(JAKUBWAKIEC) 664                  does not trade
(JAKUBWAKIEC) 665      receives (PLANSZOWIEC) 3056     and sends to (PLANSZOWIEC) 3048
(JIMI_) 2428                       does not trade
(JIMI_) 2435                       does not trade
(JIMI_) 2439           receives (GAMBIT_GGK) 1683      and sends to (PATRYKGALKA) 261
(JIMI_) 2461                       does not trade
(JIMI_) 2474           receives (WOJCIECHS) 586        and sends to (LISEK2000) 1944
(JIMMY_DURDEN) 666     receives (APIEJH) 191           and sends to (MACCOWY) 1788
(JIMMY_DURDEN) 667                 does not trade
(JIMMY_DURDEN) 668     receives (GINET1) 2934          and sends to (UNKNOWN0) 850
(JIMTERR) 1840                     does not trade
(JIMTERR) 1841                     does not trade
(JIMTERR) 1842                     does not trade
(JIMTERR) 1843                     does not trade
(JIMTERR) 1844                     does not trade
(JIMTERR) 1846                     does not trade
(JINGOWAWA) 1314       receives (WUDUPIPOL) 3044       and sends to (ANDRZEYEK) 2331
(JINGOWAWA) 1315                   does not trade
(JINGOWAWA) 1316       receives (PAWLIK) 1449          and sends to (PAWLIK) 1449
(JINGOWAWA) 1317                   does not trade
(JINGOWAWA) 1318                   does not trade
(JINGOWAWA) 1319                   does not trade
(JINGOWAWA) 1320                   does not trade
(JINGOWAWA) 1321                   does not trade
(JINGOWAWA) 1322                   does not trade
(JINGOWAWA) 2997                   does not trade
(JINGOWAWA) 3002                   does not trade
(JINGOWAWA) 3006                   does not trade
(JINGOWAWA) 3014                   does not trade
(JNOWACZY) 1860                    does not trade
(JNOWACZY) 1861        receives (MELUSINA) 171         and sends to (MAJZOWNIK) 1902
(JNOWACZY) 1862                    does not trade
(JNOWACZY) 1863                    does not trade
(JNOWACZY) 1865                    does not trade
(JNOWACZY) 1866                    does not trade
(JNOWACZY) 1867        receives (KLANCYG) 507          and sends to (MAJZOWNIK) 1919
(JNOWACZY) 1868                    does not trade
(JNOWACZY) 1869        receives (LUKI364) 760          and sends to (KRASNY853) 2592
(JNOWACZY) 1870                    does not trade
(JNOWACZY) 1871                    does not trade
(JNOWACZY) 1872                    does not trade
(JNOWACZY) 1873                    does not trade
(JNOWACZY) 1876                    does not trade
(JNOWACZY) 1877                    does not trade
(JUGANEK) 1306                     does not trade
(JUGANEK) 1307                     does not trade
(JUGANEK) 1308                     does not trade
(JUGANEK) 1309                     does not trade
(JUGANEK) 1310                     does not trade
(JUGANEK) 1311                     does not trade
(JUGANEK) 1312                     does not trade
(JUGANEK) 1313                     does not trade
(KALWIN64) 387                     does not trade
(KALWIN64) 388                     does not trade
(KALWIN64) 389                     does not trade
(KALWIN64) 390                     does not trade
(KALWIN64) 391                     does not trade
(KALWIN64) 392                     does not trade
(KALWIN64) 393                     does not trade
(KARTMAN7) 1287                    does not trade
(KARTMAN7) 1288                    does not trade
(KARTMAN7) 1289                    does not trade
(KARTMAN7) 1290                    does not trade
(KARTMAN7) 1291                    does not trade
(KARTMAN7) 1292        receives (GROR) 2379            and sends to (WOJCIECHS) 579
(KARTMAN7) 1293                    does not trade
(KARTMAN7) 1294                    does not trade
(KARTMAN7) 1295        receives (VAGABOOOND) 1682      and sends to (KEROVAN14) 222
(KARTMAN7) 1303                    does not trade
(KARTMAN7) 1304        receives (VOYDEN) 2716          and sends to (PANCOR) 1261
(KARTMAN7) 1305        receives (LADZIK) 2802          and sends to (MARBEL) 397
