TradeMaximizer Version 1.4a
Options: ALLOW-DUMMIES LINEAR-PRIORITIES REQUIRE-COLONS REQUIRE-USERNAMES SHOW-MISSING SMALL-STEP=0 BIG-STEP=1

Input Checksum: 8bf462def5777e1ced1f178a36b6c92c
ERRORS:
**** Item %ABOVE_AND_BELOW for user (KROLIS) is repeated in want list for 874.
**** Item %BEE_ALERT for user (JACEKBARBER) is repeated in want list for 643.
**** Item %CITY_OF_THE_BIG_SHOULDERS for user (CWIKS) is repeated in want list for 386.
**** Item %EVERDELL for user (ANOPTICHTYS) contains item 410 sender from the same user ((ANOPTICHTYS))
**** Item %EVERDELL for user (JINGOWAWA) is repeated in want list for 496.
**** Item %LAST_AURORA for user (POKET) is repeated in want list for 1006.
**** Item %LAST_AURORA for user (POKET) is repeated in want list for 1012.
**** Item %LAST_AURORA for user (POKET) is repeated in want list for 1013.
**** Item %LAST_AURORA for user (POKET) is repeated in want list for 987.
**** Item %LEGACY for user (ARHTU) is repeated in want list for 802.
**** Item %MINERALS for user (TAMARAPL) is repeated in want list for 396.
**** Item %ORLEAN for user (STRASZNY) is repeated in want list for 985.
**** Item %ORLEAN for user (STRASZNY) is repeated in want list for 993.
**** Item %ORLÉANS for user (CWIKS) is repeated in want list for 389.
**** Item %PARKS for user (RUTRA1992) is repeated in want list for 270.
**** Item %PARKS for user (RUTRA1992) is repeated in want list for 282.
**** Item %PARKS for user (RUTRA1992) is repeated in want list for 363.
**** Item %PARKS for user (RUTRA1992) is repeated in want list for 554.
**** Item %PARKS for user (RUTRA1992) is repeated in want list for 568.
**** Item %PARKS for user (RUTRA1992) is repeated in want list for 764.
**** Item %PARKS for user (RUTRA1992) is repeated in want list for 955.
**** Item %SHIPYARD for user (GINET1) is repeated in want list for 19.
**** Item %TANG_GARDEN for user (CWIKS) is repeated in want list for 389.
**** Item %TAPESTRY for user (FORDY2) is repeated in want list for 393.
**** Item %TAPESTRY for user (FORDY2) is repeated in want list for 394.
**** Item %TREASURE_ISLAND for user (CYBAS) is repeated in want list for 311.
**** Item 320 is repeated in want list for 62.
**** Item 320 is repeated in want list for 64.
**** Item 414 is repeated in want list for 432.
**** Unknown item %TRYES for user (STRASZNY) (2 occurrences)
**** Unknown item 1001 (39 occurrences)
**** Unknown item 1003 (2 occurrences)
**** Unknown item 1004 (3 occurrences)
**** Unknown item 1005 (6 occurrences)
**** Unknown item 1007 (2 occurrences)
**** Unknown item 1008 (4 occurrences)
**** Unknown item 1009 (4 occurrences)
**** Unknown item 1011 (38 occurrences)
**** Unknown item 1014 (9 occurrences)
**** Unknown item 1015 (4 occurrences)
**** Unknown item 1017 (5 occurrences)
**** Unknown item 1020 (5 occurrences)
**** Unknown item 1025 (16 occurrences)
**** Unknown item 1026 (2 occurrences)
**** Unknown item 1027 (33 occurrences)
**** Unknown item 1028 (17 occurrences)
**** Unknown item 1029 (6 occurrences)
**** Unknown item 139 (3 occurrences)
**** Unknown item 140 (2 occurrences)
**** Unknown item 259 (2 occurrences)
**** Unknown item 260 (4 occurrences)
**** Unknown item 261 (3 occurrences)
**** Unknown item 314 (21 occurrences)
**** Unknown item 315 (4 occurrences)
**** Unknown item 316 (2 occurrences)
**** Unknown item 317 (7 occurrences)
**** Unknown item 423 (10 occurrences)
**** Unknown item 439 (4 occurrences)
**** Unknown item 483 (12 occurrences)
**** Unknown item 484 (5 occurrences)
**** Unknown item 485 (32 occurrences)
**** Unknown item 486 (53 occurrences)
**** Unknown item 487 (27 occurrences)
**** Unknown item 488 (3 occurrences)
**** Unknown item 552 (2 occurrences)
**** Unknown item 5761119 (1 occurrence)
**** Unknown item 814 (2 occurrences)
**** Unknown item 815 (40 occurrences)
**** Unknown item 816 (4 occurrences)
**** Unknown item 817 (2 occurrences)
**** Unknown item 820 (12 occurrences)
**** Unknown item 880 (2 occurrences)
**** Unknown item 881 (2 occurrences)
**** Unknown item 882 (2 occurrences)
**** Unknown item 884 (11 occurrences)
**** Unknown item 885 (3 occurrences)
**** Unknown item 887 (4 occurrences)
**** Unknown item 890 (8 occurrences)
**** Unknown item 892 (9 occurrences)
**** Unknown item 903 (20 occurrences)
**** Unknown item 988 (3 occurrences)
**** Unknown item 989 (2 occurrences)
**** Unknown item 990 (2 occurrences)
**** Unknown item 991 (2 occurrences)
**** Unknown item 992 (2 occurrences)

TRADE LOOPS (274 total trades):

(_AIS_) 620           receives (FAKIRR) 733
(BOBULE) 44           receives (KASZKIET) 151        and sends to (DOCIA) 481
(BOBULE) 45                       does not trade
(BOBULE) 46                       does not trade
(BOBULE) 47                       does not trade
(BOBULE) 48           receives (KDSZ) 234            and sends to (ANOPTICHTYS) 402
(BUCISLAW) 601        receives (MSZMM) 169           and sends to (BARTP) 82
(BUCISLAW) 603                    does not trade
(BUCISLAW) 607                    does not trade
(BUCISLAW) 608                    does not trade
(BUCISLAW) 609                    does not trade
(CAMEROON) 895        receives (PUMAR) 115           and sends to (KASZKIET) 151
(CAMEROON) 896                    does not trade
(CAMEROON) 897        receives (REVELEMENT) 818      and sends to (TEHANU) 183
(CAMEROON) 898                    does not trade
(CAMEROON) 899                    does not trade
(CAMEROON) 900                    does not trade
(CHAOS1981OL) 502                 does not trade
(CHAOS1981OL) 503                 does not trade
(CHAOS1981OL) 504     receives (MAT_EYO) 781         and sends to (APRIEL) 50
(CHAOS1981OL) 510     receives (WILCZELYKO) 134      and sends to (VENOSTHE) 761
(CHAOS1981OL) 515     receives (STANCZES) 651        and sends to (ARDEL_PL) 392
(CHAOS1981OL) 517                 does not trade
(CINEK) 419           receives (BLEBOK) 412          and sends to (MUNCHHAUSEN) 1122
(CINEK) 420                       does not trade
(CINEK) 421                       does not trade
(COEN098) 271                     does not trade
(COEN098) 272         receives (MULISTYSTAW) 384     and sends to (ROGATUSIEK) 511
(COEN098) 273                     does not trade
(COEN098) 274         receives (KROLIS) 874          and sends to (SUL12) 379
(COEN098) 275         receives (MIZIO) 1130          and sends to (SIREVAN) 107
(COEN098) 276                     does not trade
(COEN098) 637                     does not trade
(COHLERC1) 736        receives (VDER) 854            and sends to (ZBAJSZEK) 771
(COHLERC1) 737                    does not trade
(COHLERC1) 738                    does not trade
(COHLERC1) 739        receives (WUJEK2114) 940       and sends to (KASZKIET) 141
(COHLERC1) 741                    does not trade
(CORABB) 1018                     does not trade
(CORABB) 1019                     does not trade
(CORABB) 1021                     does not trade
(CORABB) 1022                     does not trade
(CORABB) 1024         receives (ARDEL_PL) 392        and sends to (SIPIO) 614
(CORQAN) 109          receives (PANTERA_SNIEZNA) 364 and sends to (POKET) 987
(CORQAN) 112                      does not trade
(CORRAN) 796                      does not trade
(CORRAN) 797                      does not trade
(CORRAN) 798                      does not trade
(CORRAN) 799                      does not trade
(CORRAN) 800                      does not trade
(CWIKS) 386                       does not trade
(CWIKS) 387                       does not trade
(CWIKS) 388                       does not trade
(CWIKS) 389                       does not trade
(CWIKS) 671                       does not trade
(CYBAS) 308           receives (ANDYMEN) 128         and sends to (BARTP) 90
(CYBAS) 309                       does not trade
(CYBAS) 310           receives (VASVASVAS) 949       and sends to (AMACHNO) 383
(CYBAS) 311           receives (ROGATUSIEK) 511      and sends to (MIZIO) 1132
(CYBAS) 312           receives (GABENS29) 280        and sends to (DOCIA) 376
(CYBAS) 313                       does not trade
(CZIKENPREDATOR) 126  receives (STANCZES) 654        and sends to (JAJKOS) 125
(CZIKENPREDATOR) 127  receives (ZBAJSZEK) 775        and sends to (FANTAZYN) 586
(DARKERSIDE) 494      receives (SOPART PL) 708       and sends to (APRIEL) 57
(DAWTA) 235                       does not trade
(DAWTA) 236                       does not trade
(DAWTA) 237                       does not trade
(DAWTA) 238                       does not trade
(DAWTA) 239                       does not trade
(DAWTA) 240           receives (PICIEK1990) 962      and sends to (SIPIO) 613
(DAWTA) 241                       does not trade
(DAWTA) 242                       does not trade
(DAWTA) 243                       does not trade
(DAWTA) 244                       does not trade
(DAWTA) 245                       does not trade
(DEEDO72) 828                     does not trade
(DEEDO72) 829                     does not trade
(DEEDO72) 831                     does not trade
(DEEDO72) 834                     does not trade
(DEEDO72) 836                     does not trade
(DEEDO72) 839         receives (KASZKIET) 143        and sends to (SCARLETMARA) 441
(DEEDO72) 841                     does not trade
(DEEDO72) 846                     does not trade
(DEEDO72) 849         receives (SIPIO) 613           and sends to (KONRADSTPN) 457
(DEEDO72) 851                     does not trade
(DEEDO72) 856         receives (PICIEK1990) 963      and sends to (FAKIRR) 733
(DLAAGNIECHY) 821                 does not trade
(DLAAGNIECHY) 833                 does not trade
(DLAAGNIECHY) 842                 does not trade
(DLAAGNIECHY) 845                 does not trade
(DLAAGNIECHY) 850                 does not trade
(DLAAGNIECHY) 857                 does not trade
(DOCIA) 1000                      does not trade
(DOCIA) 1032                      does not trade
(DOCIA) 1033          receives (PICIEK1990) 968      and sends to (PANTERA_SNIEZNA) 366
(DOCIA) 376           receives (CYBAS) 312           and sends to (PTKW) 59
(DOCIA) 377                       does not trade
(DOCIA) 378                       does not trade
(DOCIA) 382                       does not trade
(DOCIA) 481           receives (BOBULE) 44           and sends to (ELBRUUS) 479
(DOCIA) 482                       does not trade
(DOCIA) 980           receives (GRZEG0RZ) 788        and sends to (GREGMAN42) 710
(DOCIA) 994           receives (DRAAKHAN) 415        and sends to (OSTRY) 1074
(DONATELLO23) 197                 does not trade
(DONATELLO23) 198                 does not trade
(DONATELLO23) 449     receives (MEFIUG) 327          and sends to (MEFIUG) 330
(DRAAKHAN) 415        receives (TENCZ) 745           and sends to (DOCIA) 994
(DRKLINGMANN) 473                 does not trade
(DRKLINGMANN) 474                 does not trade
(DRKLINGMANN) 475                 does not trade
(DRKLINGMANN) 476                 does not trade
(DRKLINGMANN) 477                 does not trade
(ELBRUUS) 478         receives (WKNOTT) 354          and sends to (KONRADSTPN) 470
(ELBRUUS) 479         receives (DOCIA) 481           and sends to (MEFIUG) 321
(ELBRUUS) 480         receives (_AIS_) 636           and sends to (PANCOR) 1117
(ELPRZYBYLLO) 489                 does not trade
(ELPRZYBYLLO) 490                 does not trade
(ELPRZYBYLLO) 491                 does not trade
(ELPRZYBYLLO) 492                 does not trade
(ELPRZYBYLLO) 493                 does not trade
(EQUILIBRIUMPL) 185               does not trade
(EQUILIBRIUMPL) 186               does not trade
(EQUILIBRIUMPL) 187               does not trade
(EQUILIBRIUMPL) 188               does not trade
(EQUILIBRIUMPL) 189               does not trade
(EQUILIBRIUMPL) 190               does not trade
(EQUILIBRIUMPL) 191               does not trade
(EQUILIBRIUMPL) 192               does not trade
(EQUILIBRIUMPL) 193               does not trade
(EQUILIBRIUMPL) 194               does not trade
(EQUILIBRIUMPL) 195               does not trade
(EQUILIBRIUMPL) 196               does not trade
(EXDEATH44) 555                   does not trade
(EXDEATH44) 556                   does not trade
(EXDEATH44) 557       receives (WKNOTT) 353          and sends to (JACEKBARBER) 975
(EXDEATH44) 558                   does not trade
(FAKIRR) 731                      does not trade
(FAKIRR) 732                      does not trade
(FAKIRR) 733          receives (DEEDO72) 856         and sends to (_AIS_) 620
(FAKIRR) 734          receives (ARHTU) 803           and sends to (MARKOWKA) 326
(FANTAZYN) 586        receives (CZIKENPREDATOR) 127  and sends to (RUTRA1992) 554
(FANTAZYN) 587                    does not trade
(FANTAZYN) 588                    does not trade
(FIZOLOF) 433         receives (JAJKOS) 125          and sends to (SARKIEL) 605
(FIZOLOF) 434                     does not trade
(FIZOLOF) 435                     does not trade
(FIZOLOF) 436         receives (NARO) 62             and sends to (MTIBOL) 95
(FIZOLOF) 437                     does not trade
(FLIEGEN) 1133        receives (RUTRA1992) 568       and sends to (OGMIOS1981) 545
(FORDY2) 393                      does not trade
(FORDY2) 394                      does not trade
(FREYA2226) 600       receives (PICIEK1990) 961      and sends to (GAMBIT_GGK) 904
(FREYA2226) 604       receives (RAIPL) 964           and sends to (SOPART PL) 721
(FREYA2226) 606                   does not trade
(GABENS29) 280        receives (MILEV) 878           and sends to (CYBAS) 312
(GABENS29) 49         receives (TEHANU) 181          and sends to (WKNOTT) 355
(GABENS29) 53                     does not trade
(GAMBIT_GGK) 901                  does not trade
(GAMBIT_GGK) 902                  does not trade
(GAMBIT_GGK) 904      receives (FREYA2226) 600       and sends to (SYDONIAA) 6
(GAMBIT_GGK) 905      receives (PANCOR) 1120         and sends to (SOPART PL) 735
(GAMLEER) 266                     does not trade
(GARG) 911                        does not trade
(GARG) 912                        does not trade
(GARG) 913                        does not trade
(GARG) 914                        does not trade
(GARG) 915                        does not trade
(GARG) 916                        does not trade
(GARG) 917                        does not trade
(GARG) 918                        does not trade
(GARG) 919                        does not trade
(GARG) 920                        does not trade
(GARG) 921                        does not trade
(GARG) 922            receives (MALEKITH_86) 662     and sends to (MEFIUG) 327
(GARG) 923                        does not trade
(GARG) 924                        does not trade
(GARG) 925                        does not trade
(GARG) 926                        does not trade
(GARG) 927                        does not trade
(GARG) 928                        does not trade
(GARG) 929                        does not trade
(GARG) 930                        does not trade
(GARG) 932                        does not trade
(GARG) 933                        does not trade
(GARG) 934                        does not trade
(GARG) 935                        does not trade
(GARG) 936                        does not trade
(GARG) 937                        does not trade
(GARG) 938                        does not trade
(GARG) 939                        does not trade
(GARG) 941                        does not trade
(GARG) 942            receives (STANCZES) 660        and sends to (ROGATUSIEK) 509
(GARG) 943                        does not trade
(GIGI) 448                        does not trade
(GIGI) 520                        does not trade
(GIGI) 521                        does not trade
(GINET1) 1030                     does not trade
(GINET1) 1031                     does not trade
(GINET1) 18                       does not trade
(GINET1) 19                       does not trade
(GINET1) 21                       does not trade
(GINET1) 22                       does not trade
(GINET1) 23                       does not trade
(GINET1) 24                       does not trade
(GINET1) 25                       does not trade
(GINET1) 27                       does not trade
(GINET1) 28                       does not trade
(GINET1) 29                       does not trade
(GINET1) 30                       does not trade
(GINET1) 31                       does not trade
(GINET1) 32           receives (SOPART PL) 722       and sends to (STANCZES) 661
(GINET1) 33                       does not trade
(GINET1) 638          receives (WOOL_F) 1016         and sends to (PIOTREKBIER) 1125
(GINET1) 639          receives (RUTRA1992) 956       and sends to (STANCZES) 660
(GOBLA) 783                       does not trade
(GREGMAN42) 701                   does not trade
(GREGMAN42) 702                   does not trade
(GREGMAN42) 703                   does not trade
(GREGMAN42) 705                   does not trade
(GREGMAN42) 710       receives (DOCIA) 980           and sends to (SOPART PL) 708
(GREGMAN42) 715                   does not trade
(GRZEG0RZ) 788        receives (ARHTU) 806           and sends to (DOCIA) 980
(HARUN) 268                       does not trade
(HARUN) 269                       does not trade
(HARUN) 947                       does not trade
(HYNIKS) 529                      does not trade
(HYNIKS) 54                       does not trade
(IRONHAWK) 69         receives (WAZKA) 124           and sends to (PANTERA_SNIEZNA) 364
(JACEKBARBER) 640                 does not trade
(JACEKBARBER) 641     receives (KLOS_X) 1066         and sends to (MALEKITH_86) 666
(JACEKBARBER) 642                 does not trade
(JACEKBARBER) 643     receives (MARKOWKA) 326        and sends to (OSTRY) 1089
(JACEKBARBER) 644                 does not trade
(JACEKBARBER) 970     receives (LYSYPK) 507          and sends to (KDSZ) 234
(JACEKBARBER) 975     receives (EXDEATH44) 557       and sends to (SYDONIAA) 635
(JACEKBARBER) 978                 does not trade
(JACEKBARBER) 981     receives (ZIBIST) 711          and sends to (JAJKOS) 673
(JACEKBARBER) 984                 does not trade
(JACEKBARBER) 996                 does not trade
(JACEKBARBER) 999                 does not trade
(JAJKOS) 125          receives (CZIKENPREDATOR) 126  and sends to (FIZOLOF) 433
(JAJKOS) 672                      does not trade
(JAJKOS) 673          receives (JACEKBARBER) 981     and sends to (R4VAL) 1127
(JINGOWAWA) 1126                  does not trade
(JINGOWAWA) 496                   does not trade
(JINGOWAWA) 497                   does not trade
(JINGOWAWA) 498                   does not trade
(JINGOWAWA) 499                   does not trade
(JINGOWAWA) 500                   does not trade
(JINGOWAWA) 527                   does not trade
(JINGOWAWA) 528                   does not trade
(JUSTRAG) 301                     does not trade
(JUSTRAG) 302                     does not trade
(JUSTRAG) 303                     does not trade
(JUSTRAG) 304         receives (STANCZES) 748        and sends to (ZBAJSZEK) 775
(JUSTRAG) 305                     does not trade
(JUSTRAG) 306         receives (OSTRY) 1089          and sends to (TEHANU) 181
(JUSTRAG) 307                     does not trade
(JUSTRAG) 974                     does not trade
(KASHYA) 826                      does not trade
(KASHYA) 830                      does not trade
(KASHYA) 835                      does not trade
(KASHYA) 844                      does not trade
(KASHYA) 847                      does not trade
(KASHYA) 848                      does not trade
(KASHYA) 852                      does not trade
(KASHYA) 855                      does not trade
(KASZKIET) 141        receives (COHLERC1) 739        and sends to (ROGATUSIEK) 508
(KASZKIET) 143        receives (ZBAJSZEK) 771        and sends to (DEEDO72) 839
(KASZKIET) 144                    does not trade
(KASZKIET) 145                    does not trade
(KASZKIET) 146                    does not trade
(KASZKIET) 147                    does not trade
(KASZKIET) 149                    does not trade
(KASZKIET) 150                    does not trade
(KASZKIET) 151        receives (CAMEROON) 895        and sends to (BOBULE) 44
(KASZKIET) 418                    does not trade
(KATERINAILS) 184                 does not trade
(KATERINAILS) 20      receives (WARHIR) 561          and sends to (MIZIO) 1129
(KDSZ) 232                        does not trade
(KDSZ) 233                        does not trade
(KDSZ) 234            receives (JACEKBARBER) 970     and sends to (BOBULE) 48
(KERUKR) 1077                     does not trade
(KERUKR) 1078                     does not trade
(KERUKR) 1079                     does not trade
(KERUKR) 1080                     does not trade
(KERUKR) 1081                     does not trade
(KERUKR) 1082                     does not trade
(KERUKR) 1084                     does not trade
(KERUKR) 1085                     does not trade
(KERUKR) 1086                     does not trade
(KERUKR) 1087                     does not trade
(KERUKR) 1088                     does not trade
(KERUKR) 1090                     does not trade
(KERUKR) 1091                     does not trade
(KERUKR) 1092                     does not trade
(KERUKR) 1093                     does not trade
(KERUKR) 1094                     does not trade
(KERUKR) 1095                     does not trade
(KERUKR) 1096                     does not trade
(KERUKR) 1097                     does not trade
(KERUKR) 1098                     does not trade
(KERUKR) 1099                     does not trade
(KICUREK) 428         receives (SIPIO) 614           and sends to (PIOTR1) 751
(KLOS_X) 1034                     does not trade
(KLOS_X) 1035                     does not trade
(KLOS_X) 1036                     does not trade
(KLOS_X) 1037                     does not trade
(KLOS_X) 1038                     does not trade
(KLOS_X) 1039                     does not trade
(KLOS_X) 1040                     does not trade
(KLOS_X) 1041                     does not trade
(KLOS_X) 1042                     does not trade
(KLOS_X) 1043                     does not trade
(KLOS_X) 1044                     does not trade
(KLOS_X) 1045                     does not trade
(KLOS_X) 1046         receives (OMAM1234) 694        and sends to (STANCZES) 748
(KLOS_X) 1047                     does not trade
(KLOS_X) 1048                     does not trade
(KLOS_X) 1049                     does not trade
(KLOS_X) 1050                     does not trade
(KLOS_X) 1051                     does not trade
(KLOS_X) 1052                     does not trade
(KLOS_X) 1053                     does not trade
(KLOS_X) 1054                     does not trade
(KLOS_X) 1055                     does not trade
(KLOS_X) 1056                     does not trade
(KLOS_X) 1057                     does not trade
(KLOS_X) 1058                     does not trade
(KLOS_X) 1059                     does not trade
(KLOS_X) 1060                     does not trade
(KLOS_X) 1061                     does not trade
(KLOS_X) 1062         receives (PANCOR) 1105         and sends to (OMAM1234) 694
(KLOS_X) 1063                     does not trade
(KLOS_X) 1064                     does not trade
(KLOS_X) 1065                     does not trade
(KLOS_X) 1066         receives (SOPART PL) 735       and sends to (JACEKBARBER) 641
(KLOS_X) 1067                     does not trade
(KLOS_X) 1068                     does not trade
(KLOS_X) 1069                     does not trade
(KLOS_X) 1070                     does not trade
(KLOS_X) 1071                     does not trade
(KLOS_X) 1072                     does not trade
(KMET) 582            receives (AMACHNO) 383         and sends to (STALKEROI) 794
(KMET) 583                        does not trade
(KMET) 584                        does not trade
(KMET) 585                        does not trade
(KOLMOGOROV) 345                  does not trade
(KOLMOGOROV) 346                  does not trade
(KOLMOGOROV) 347                  does not trade
(KOLMOGOROV) 348                  does not trade
(KOLMOGOROV) 349                  does not trade
(KOLMOGOROV) 526      receives (APRIEL) 52           and sends to (NIKOSIS) 690
(KONRADSTPN) 456                  does not trade
(KONRADSTPN) 457      receives (DEEDO72) 849         and sends to (8RAMBO88) 360
(KONRADSTPN) 458                  does not trade
(KONRADSTPN) 459                  does not trade
(KONRADSTPN) 460                  does not trade
(KONRADSTPN) 461                  does not trade
(KONRADSTPN) 462                  does not trade
(KONRADSTPN) 463                  does not trade
(KONRADSTPN) 464                  does not trade
(KONRADSTPN) 465                  does not trade
(KONRADSTPN) 466                  does not trade
(KONRADSTPN) 467                  does not trade
(KONRADSTPN) 468                  does not trade
(KONRADSTPN) 469                  does not trade
(KONRADSTPN) 470      receives (ELBRUUS) 478         and sends to (PICIEK1990) 957
(KONRADSTPN) 471                  does not trade
(KONRADSTPN) 726                  does not trade
(KONRADSTPN) 727                  does not trade
(KONRADSTPN) 728                  does not trade
(KONRADSTPN) 729                  does not trade
(KONRADSTPN) 730                  does not trade
(KONTRABAS) 562                   does not trade
(KONTRABAS) 563                   does not trade
(KONTRABAS) 564                   does not trade
(KONTRABAS) 565                   does not trade
(KONTRABAS) 566                   does not trade
(KONTRABAS) 567                   does not trade
(KONTRABAS) 569                   does not trade
(KONTRABAS) 570                   does not trade
(KOPEC) 152                       does not trade
(KOPEC) 154                       does not trade
(KOPEC) 157                       does not trade
(KOPEC) 161                       does not trade
(KOPEC) 165                       does not trade
(KOPEC) 167                       does not trade
(KOPEC) 204                       does not trade
(KOPEC) 210                       does not trade
(KROLIS) 858                      does not trade
(KROLIS) 860                      does not trade
(KROLIS) 874          receives (THEONE) 888          and sends to (COEN098) 274
(KROLIS) 891          receives (MBIRD) 177           and sends to (TAMARAPL) 396
(KUD1ATY) 300                     does not trade
(LASSE LINDSTROM) 750             does not trade
(LASSE LINDSTROM) 752             does not trade
(LASSE LINDSTROM) 753             does not trade
(LOMAX1983) 68        receives (ARAGORN4) 590        and sends to (APRIEL) 51
(LOMAX1983) 70        receives (SPRYSIALDO) 553      and sends to (MONOPOLYOWNS) 277
(LOMAX1983) 72                    does not trade
(LOTHEG) 171          receives (AMACHNO) 71          and sends to (WUJEK2114) 940
(LOTHEG) 173                      does not trade
(LOTHEG) 174                      does not trade
(LOTHEG) 175                      does not trade
(LYSYPK) 507          receives (RAPHAELL7) 12        and sends to (JACEKBARBER) 970
(MAJKELERYK) 862                  does not trade
(MAJKELERYK) 863                  does not trade
(MAJKELERYK) 864                  does not trade
(MAJKELERYK) 865                  does not trade
(MAJKOS) 230                      does not trade
(MAJKOS) 422                      does not trade
(MAJKOS) 447          receives (ORZEH) 110           and sends to (ZIBIST) 717
(MALEKITH_86) 662     receives (PIOTREKBIER) 1125    and sends to (GARG) 922
(MALEKITH_86) 663                 does not trade
(MALEKITH_86) 664                 does not trade
(MALEKITH_86) 665                 does not trade
(MALEKITH_86) 666     receives (JACEKBARBER) 641     and sends to (BARTP) 87
(MALEKITH_86) 667                 does not trade
(MALEKITH_86) 668                 does not trade
(MALEKITH_86) 669                 does not trade
(MALEKITH_86) 670                 does not trade
(MALKOLMX) 674                    does not trade
(MALKOLMX) 675                    does not trade
(MALKOLMX) 676                    does not trade
(MALKOLMX) 677                    does not trade
(MALKOLMX) 678        receives (_AIS_) 625           and sends to (ANDYMEN) 130
(MALKOLMX) 679                    does not trade
(MALKOLMX) 680                    does not trade
(MALKOLMX) 681                    does not trade
(MALKOLMX) 682                    does not trade
(MALKOLMX) 683                    does not trade
(MALKOLMX) 684                    does not trade
(MALKOLMX) 685                    does not trade
(MALKOLMX) 686                    does not trade
(MALKOLMX) 687                    does not trade
(MALKOLMX) 688                    does not trade
(MALKOLMX) 689                    does not trade
(MARKOO) 451                      does not trade
(MARKOO) 452                      does not trade
(MARKOO) 453                      does not trade
(MARKOO) 454                      does not trade
(MARKOO) 455                      does not trade
(MARKOO) 595          receives (BARTP) 82            and sends to (SMAGDA) 63
(MARKOO) 596                      does not trade
(MARKOWKA) 326        receives (FAKIRR) 734          and sends to (JACEKBARBER) 643
(MARKOWKA) 337                    does not trade
(MARKOWKA) 340                    does not trade
(MATGIE) 577                      does not trade
(MATGIE) 578                      does not trade
(MATGIE) 579                      does not trade
(MATGIE) 580                      does not trade
(MATGIE) 581                      does not trade
(MATHUNTER25) 267                 does not trade
(MAT_EYO) 778                     does not trade
(MAT_EYO) 779                     does not trade
(MAT_EYO) 780                     does not trade
(MAT_EYO) 781         receives (STANCZES) 661        and sends to (CHAOS1981OL) 504
(MAT_EYO) 782                     does not trade
(MBIRD) 177           receives (MIZIO) 1129          and sends to (KROLIS) 891
(MBIRD) 178           receives (MEFIUG) 334          and sends to (RUTRA1992) 955
(MEFIKENU) 445                    does not trade
(MEFIKENU) 446        receives (WKNOTT) 355          and sends to (PIECHU) 288
(MEFIUG) 321          receives (ELBRUUS) 479         and sends to (SUL12) 380
(MEFIUG) 322                      does not trade
(MEFIUG) 324                      does not trade
(MEFIUG) 327          receives (GARG) 922            and sends to (DONATELLO23) 449
(MEFIUG) 328                      does not trade
(MEFIUG) 329          receives (SMAGDA) 113          and sends to (ZBAJSZEK) 772
(MEFIUG) 330          receives (DONATELLO23) 449     and sends to (PUASHEY90) 724
(MEFIUG) 331          receives (PIOTR1) 343          and sends to (SMAGDA) 199
(MEFIUG) 332          receives (RUTRA1992) 554       and sends to (WKNOTT) 357
(MEFIUG) 333                      does not trade
(MEFIUG) 334          receives (PIECHU) 218          and sends to (MBIRD) 178
(MEFIUG) 335                      does not trade
(MEFIUG) 336                      does not trade
(MEFIUG) 338                      does not trade
(MEFIUG) 339                      does not trade
(MIKOLAJL) 248                    does not trade
(MIKOLAJL) 249                    does not trade
(MIKOLAJL) 250                    does not trade
(MIKOLAJL) 251                    does not trade
(MIKOLAJL) 252                    does not trade
(MIKOLAJL) 253                    does not trade
(MIKOLAJL) 254                    does not trade
(MIKOLAJL) 255                    does not trade
(MIKOLAJL) 256                    does not trade
(MIKOLAJL) 257                    does not trade
(MIKOLAJL) 258                    does not trade
(MILEV) 870                       does not trade
(MILEV) 871                       does not trade
(MILEV) 873                       does not trade
(MILEV) 876                       does not trade
(MILEV) 878           receives (VENOSTHE) 763        and sends to (GABENS29) 280
(MILEV) 889                       does not trade
(MILEV) 893                       does not trade
(MILEV) 894                       does not trade
(MILEV) 907                       does not trade
(MINNENMIN) 148                   does not trade
(MISIENCJUSZ) 263                 does not trade
(MISIENCJUSZ) 264                 does not trade
(MISIENCJUSZ) 265                 does not trade
(MIZIO) 1128                      does not trade
(MIZIO) 1129          receives (KATERINAILS) 20      and sends to (MBIRD) 177
(MIZIO) 1130          receives (ZBAJSZEK) 772        and sends to (COEN098) 275
(MIZIO) 1131                      does not trade
(MIZIO) 1132          receives (CYBAS) 311           and sends to (ARAGORN4) 590
(MNOWACZY) 227        receives (BAGESE) 440          and sends to (STALKEROI) 793
(MNOWACZY) 228                    does not trade
(MONOPOLYOWNS) 277    receives (LOMAX1983) 70        and sends to (ANOPTICHTYS) 40
(MONOPOLYOWNS) 278                does not trade
(MOOCKER) 142         receives (MTIBOL) 93           and sends to (STRASZNY) 983
(MOOCKER) 16                      does not trade
(MOOCKER) 166                     does not trade
(MOOCKER) 34          receives (BARTP) 87            and sends to (PAWELACB) 807
(MOOCKER) 519                     does not trade
(MOOCKER) 647                     does not trade
(MSZMM) 169           receives (MZAGORSKI) 966       and sends to (BUCISLAW) 601
(MSZMM) 170                       does not trade
(MSZMM) 172                       does not trade
(MSZMM) 176                       does not trade
(MTIBOL) 93           receives (BARTP) 90            and sends to (MOOCKER) 142
(MTIBOL) 94                       does not trade
(MTIBOL) 95           receives (FIZOLOF) 436         and sends to (THEONE) 888
(MTIBOL) 96                       does not trade
(MTIBOL) 97                       does not trade
(MTNW) 138                        does not trade
(MTNW) 73             receives (STRASZNY) 983        and sends to (RAPHAELL7) 12
