TradeMaximizer Version 1.4a
Options: ALLOW-DUMMIES LINEAR-PRIORITIES REQUIRE-COLONS REQUIRE-USERNAMES SHOW-MISSING SMALL-STEP=0 BIG-STEP=1

Input Checksum: 5c9b54cb33ab9736ee4568f2ee5e2a
ERRORS:
**** Item %AGRICOLA for user (CHRUSZCZOW) is repeated in want list for 91.
**** Item %HANNIBAL__ROME_VS__CARTHAGE for user (GIGI) is repeated in want list for 613.
**** Item %ROLLFTG for user (PIECHU) has multiple want lists--ignoring all but first.  (Sometimes the result of an accidental line break in the middle of a want list.)
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 243.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 244.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 245.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 246.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 247.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 248.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 249.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 250.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 251.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 252.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 253.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 254.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 256.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 257.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 258.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 260.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 261.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 262.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 263.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 264.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 265.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 266.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 267.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 268.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 269.
**** Item %SID_MEIER_S_CIVILIZATION_A_NEW_DAWN for user (WODA) is repeated in want list for 358.
**** Item %SID_MEIER_S_CIVILIZATION_A_NEW_DAWN for user (WODA) is repeated in want list for 359.
**** Item %SID_MEIER_S_CIVILIZATION_A_NEW_DAWN for user (WODA) is repeated in want list for 360.
**** Item %THE_VOYAGES_OF_MARCO_POLO for user (JENNY70) is repeated in want list for 573.
**** Item %THE_WITCHER_ADVENTURE_GAME for user (JENNY70) is repeated in want list for 573.
**** Item %TRIASSIC_TERROR for user (JENNY70) is repeated in want list for 573.
**** Item %VILLAGESOFVALERIA for user (BARTP) has multiple want lists--ignoring all but first.  (Sometimes the result of an accidental line break in the middle of a want list.)
**** Item %VILLAGESOFVALERIA for user (BARTP) is repeated in want list for 193.
**** Item %VILLAGESOFVALERIA for user (BARTP) is repeated in want list for 194.
**** Item %VILLAGESOFVALERIA for user (BARTP) is repeated in want list for 195.
**** Item %VILLAGESOFVALERIA for user (BARTP) is repeated in want list for 196.
**** Item %VILLAGESOFVALERIA for user (BARTP) is repeated in want list for 197.
**** Item %VILLAGESOFVALERIA for user (BARTP) is repeated in want list for 198.
**** Item %VILLAGESOFVALERIA for user (BARTP) is repeated in want list for 200.
**** Item %VILLAGESOFVALERIA for user (BARTP) is repeated in want list for 371.
**** Item 250 has multiple want lists--ignoring all but first.  (Sometimes the result of an accidental line break in the middle of a want list.)
**** Unknown item %KINGSBURG__SECOND_EDITION for user (ADALBERT) (1 occurrence)
**** Unknown item 1038 (1 occurrence)
**** Unknown item 1058 (1 occurrence)
**** Unknown item 1069 (1 occurrence)
**** Unknown item 11 (1 occurrence)
**** Unknown item 1111 (1 occurrence)
**** Unknown item 1120 (1 occurrence)
**** Unknown item 1142 (1 occurrence)
**** Unknown item 1196 (1 occurrence)
**** Unknown item 1197 (1 occurrence)
**** Unknown item 1234 (1 occurrence)
**** Unknown item 1257 (1 occurrence)
**** Unknown item 1265 (1 occurrence)
**** Unknown item 1290 (1 occurrence)
**** Unknown item 1302 (1 occurrence)
**** Unknown item 1346 (1 occurrence)
**** Unknown item 1387 (1 occurrence)
**** Unknown item 1388 (1 occurrence)
**** Unknown item 1389 (1 occurrence)
**** Unknown item 1432 (1 occurrence)
**** Unknown item 1507 (1 occurrence)
**** Unknown item 1517 (1 occurrence)
**** Unknown item 1547 (1 occurrence)
**** Unknown item 1548 (1 occurrence)
**** Unknown item 1563 (1 occurrence)
**** Unknown item 1573 (1 occurrence)
**** Unknown item 2849 (1 occurrence)
**** Unknown item 324214 (1 occurrence)
**** Unknown item 541 (2 occurrences)
**** Unknown item 542 (2 occurrences)
**** Unknown item 610 (13 occurrences)
**** Unknown item 723 (1 occurrence)
**** Unknown item 724 (1 occurrence)
**** Unknown item 725 (9 occurrences)
**** Unknown item 726 (1 occurrence)
**** Unknown item 729 (26 occurrences)
**** Unknown item 731 (13 occurrences)
**** Unknown item 732 (7 occurrences)
**** Unknown item 733 (1 occurrence)
**** Unknown item 920 (44 occurrences)
**** Unknown item 922 (38 occurrences)
**** Unknown item 926 (17 occurrences)

TRADE LOOPS (206 total trades):

(_AIS_) 825             receives (KRIONAH) 642
(CACTUSSE) 96           receives (GAMBIT_GGK) 904        and sends to (GRUNWALD) 51
(CACTUSSE) 97                       does not trade
(CACTUSSE) 98                       does not trade
(CACTUSSE) 99                       does not trade
(CAMEROON) 285                      does not trade
(CAMEROON) 286                      does not trade
(CHRUSZCZOW) 116        receives (ADALBERT) 994          and sends to (CACTUSSE) 127
(CHRUSZCZOW) 89                     does not trade
(CHRUSZCZOW) 90         receives (LHAPKA) 396            and sends to (ANOPTICHTYS) 24
(CHRUSZCZOW) 91         receives (ROXAS1231) 759         and sends to (RZEZIO) 289
(CHRUSZCZOW) 92                     does not trade
(CIUNIEK) 449                       does not trade
(CIUNIEK) 450                       does not trade
(CIUNIEK) 451                       does not trade
(COIN22) 539                        does not trade
(COIN22) 540                        does not trade
(COIN22) 543                        does not trade
(COIN22) 544            receives (B3R53RK3R) 748         and sends to (OMAM1234) 633
(COIN22) 546            receives (WODA) 361              and sends to (MELLOWFRUIT) 177
(COIN22) 547                        does not trade
(CORABB) 430                        does not trade
(CORABB) 431                        does not trade
(CORABB) 432                        does not trade
(CORABB) 433                        does not trade
(CORABB) 434                        does not trade
(CORABB) 435                        does not trade
(CORABB) 436                        does not trade
(CORABB) 437                        does not trade
(CORABB) 438                        does not trade
(CORABB) 439            receives (RAZUL) 319             and sends to (BOBULE) 55
(CORABB) 440                        does not trade
(CORABB) 441            receives (LUBEL) 333             and sends to (KRIONAH) 642
(CORABB) 442            receives (SIPIO) 599             and sends to (PIECHU) 238
(CORABB) 443                        does not trade
(CORABB) 444                        does not trade
(CORABB) 446                        does not trade
(CRSUNIK) 142           receives (TOMB66) 844            and sends to (ANOPTICHTYS) 25
(CRSUNIK) 143           receives (MALEKITH_86) 783       and sends to (RAZUL) 299
(CRSUNIK) 144                       does not trade
(CRSUNIK) 145                       does not trade
(CRSUNIK) 146                       does not trade
(CRSUNIK) 147           receives (KRIONAH) 646           and sends to (ANOPTICHTYS) 662
(CRSUNIK) 148                       does not trade
(CRSUNIK) 149                       does not trade
(CRSUNIK) 150                       does not trade
(CRSUNIK) 151                       does not trade
(CRSUNIK) 152                       does not trade
(CRSUNIK) 153                       does not trade
(CRSUNIK) 154                       does not trade
(CRSUNIK) 155                       does not trade
(CRSUNIK) 156                       does not trade
(CRSUNIK) 157                       does not trade
(CRSUNIK) 158                       does not trade
(CRSUNIK) 159                       does not trade
(CRSUNIK) 162                       does not trade
(CRSUNIK) 226                       does not trade
(CRSUNIK) 227                       does not trade
(CRSUNIK) 706                       does not trade
(CRSUNIK) 707                       does not trade
(CRSUNIK) 708                       does not trade
(CRSUNIK) 794                       does not trade
(CYBEROWCA) 224         receives (WHITE_BABIRUSA) 552    and sends to (BARTI18) 481
(CYBEROWCA) 225         receives (KASZKIET) 493          and sends to (WAPNIAK) 465
(DAWIATA) 935                       does not trade
(DAWIATA) 937                       does not trade
(DAWIATA) 940                       does not trade
(DAWIATA) 945                       does not trade
(DAWIATA) 947           receives (POKET) 875             and sends to (DONATELLO23) 367
(DAWIATA) 948                       does not trade
(DONATELLO23) 366                   does not trade
(DONATELLO23) 367       receives (DAWIATA) 947           and sends to (KERUKR) 833
(DONKICHOTE87) 954                  does not trade
(DONKICHOTE87) 955                  does not trade
(DONKICHOTE87) 956                  does not trade
(DONKICHOTE87) 957                  does not trade
(DONKICHOTE87) 958                  does not trade
(DONKICHOTE87) 959                  does not trade
(DONKICHOTE87) 960                  does not trade
(DONKICHOTE87) 961                  does not trade
(DONKICHOTE87) 962                  does not trade
(DONKICHOTE87) 963                  does not trade
(DONKICHOTE87) 964                  does not trade
(DONKICHOTE87) 965                  does not trade
(DONKICHOTE87) 966                  does not trade
(DONKICHOTE87) 967                  does not trade
(DONKICHOTE87) 968                  does not trade
(DONKICHOTE87) 969                  does not trade
(DONKICHOTE87) 970                  does not trade
(DONKICHOTE87) 971                  does not trade
(DONKICHOTE87) 972                  does not trade
(DONKICHOTE87) 973                  does not trade
(DONKICHOTE87) 974      receives (GRUNWALD) 51           and sends to (OMAM1234) 632
(DONKICHOTE87) 975                  does not trade
(DORIBRUD) 805                      does not trade
(DORIBRUD) 806                      does not trade
(DORIBRUD) 808                      does not trade
(DRKLINGMANN) 741       receives (BLACKSLACK) 188        and sends to (NAJPERSKLAKA) 837
(DRKLINGMANN) 742                   does not trade
(DRKLINGMANN) 743                   does not trade
(ELPRZYBYLLO) 62                    does not trade
(ELPRZYBYLLO) 63                    does not trade
(ELPRZYBYLLO) 64                    does not trade
(EMUNOWAK) 470                      does not trade
(EMUNOWAK) 471                      does not trade
(EMUNOWAK) 472                      does not trade
(EMUNOWAK) 473                      does not trade
(EMUNOWAK) 474          receives (KRISSOS) 453           and sends to (BARTP) 976
(EMUNOWAK) 475                      does not trade
(EQUILIBRIUMPL) 275                 does not trade
(EQUILIBRIUMPL) 276                 does not trade
(EQUILIBRIUMPL) 277                 does not trade
(EQUILIBRIUMPL) 278                 does not trade
(EQUILIBRIUMPL) 279                 does not trade
(EQUILIBRIUMPL) 280                 does not trade
(EQUILIBRIUMPL) 281                 does not trade
(EQUILIBRIUMPL) 282                 does not trade
(EQUILIBRIUMPL) 283                 does not trade
(EQUILIBRIUMPL) 284                 does not trade
(EREM) 634                          does not trade
(EREM) 635                          does not trade
(EREM) 636                          does not trade
(EREM) 637              receives (JASKIER) 65            and sends to (WAMPIK) 501
(EREM) 638                          does not trade
(EREM) 639                          does not trade
(EREM) 640              receives (SYDONIAA) 6            and sends to (KONTRABAS) 803
(EREM) 641                          does not trade
(EXDEATH44) 372         receives (GRZECHOO104) 916       and sends to (MILEV) 989
(EXDEATH44) 373                     does not trade
(EXDEATH44) 374                     does not trade
(EXDEATH44) 375                     does not trade
(EXDEATH44) 376                     does not trade
(EXDEATH44) 377                     does not trade
(EXDEATH44) 378                     does not trade
(EXDEATH44) 379                     does not trade
(EXDEATH44) 380                     does not trade
(EXDEATH44) 381                     does not trade
(FANTAZYN) 163                      does not trade
(FANTAZYN) 164                      does not trade
(FANTAZYN) 165                      does not trade
(FANTAZYN) 166          receives (KLOS_X) 528            and sends to (LHAPKA) 396
(FIZOLOF) 160                       does not trade
(FIZOLOF) 161                       does not trade
(FIZOLOF) 348                       does not trade
(FIZOLOF) 915           receives (LHAPKA) 393            and sends to (ZERO_1627) 81
(GAMBIT_GGK) 896                    does not trade
(GAMBIT_GGK) 897                    does not trade
(GAMBIT_GGK) 898                    does not trade
(GAMBIT_GGK) 899                    does not trade
(GAMBIT_GGK) 900        receives (RAZUL) 293             and sends to (RAZUL) 306
(GAMBIT_GGK) 901                    does not trade
(GAMBIT_GGK) 902                    does not trade
(GAMBIT_GGK) 903                    does not trade
(GAMBIT_GGK) 904        receives (KASZKIET) 214          and sends to (CACTUSSE) 96
(GAMBIT_GGK) 905                    does not trade
(GEKOPL) 462            receives (QBALDUS1) 405          and sends to (PERO PAMBARASCO) 746
(GIGI) 612                          does not trade
(GIGI) 613              receives (RAZUL) 326             and sends to (BALIS) 885
(GINET1) 691                        does not trade
(GINET1) 692                        does not trade
(GINET1) 693                        does not trade
(GINET1) 694                        does not trade
(GINET1) 695            receives (GRUNWALD) 52           and sends to (JINGOWAWA) 712
(GINET1) 696                        does not trade
(GINET1) 697                        does not trade
(GINET1) 698                        does not trade
(GINET1) 699                        does not trade
(GINET1) 700                        does not trade
(GINET1) 701                        does not trade
(GINET1) 702                        does not trade
(GODUNOW) 85                        does not trade
(GODUNOW) 86                        does not trade
(GODUNOW) 87                        does not trade
(GODUNOW) 88                        does not trade
(GOLEBIOWSKI) 807                   does not trade
(GRUNWALD) 51           receives (CACTUSSE) 96           and sends to (DONKICHOTE87) 974
(GRUNWALD) 52           receives (JINGOWAWA) 712         and sends to (GINET1) 695
(GRUNWALD) 54                       does not trade
(GRUNWALD) 56                       does not trade
(GRUNWALD) 57                       does not trade
(GRUNWALD) 58           receives (KASZKIET) 218          and sends to (WHITE_BABIRUSA) 552
(GRZECHOO104) 913                   does not trade
(GRZECHOO104) 914                   does not trade
(GRZECHOO104) 916       receives (PROBBI) 864            and sends to (EXDEATH44) 372
(GRZECHOO104) 918       receives (WAMPIK) 501            and sends to (POKET) 875
(GRZECHOO104) 919                   does not trade
(GRZECHOO104) 921                   does not trade
(GRZECHOO104) 924                   does not trade
(GRZECHOO104) 925                   does not trade
(GRZECHOO104) 927                   does not trade
(GRZECHOO104) 928                   does not trade
(GRZECHOO104) 930                   does not trade
(GRZECHOO104) 931                   does not trade
(GRZECHOO104) 933       receives (ANOPTICHTYS) 24        and sends to (BADYL) 583
(GRZECHOO104) 934                   does not trade
(GRZECHOO104) 936                   does not trade
(GRZECHOO104) 938                   does not trade
(GRZECHOO104) 939                   does not trade
(GRZECHOO104) 941                   does not trade
(GRZECHOO104) 942                   does not trade
(GRZECHOO104) 943       receives (LUBEL) 339             and sends to (MILEV) 988
(GRZECHOO104) 946                   does not trade
(GRZES19) 13                        does not trade
(GRZES19) 14                        does not trade
(GRZES19) 15                        does not trade
(GRZES19) 16                        does not trade
(GRZES19) 17                        does not trade
(GRZES19) 18                        does not trade
(GRZES19) 19                        does not trade
(GRZES19) 20                        does not trade
(GRZES19) 21                        does not trade
(GRZES19) 22                        does not trade
(GRZES19) 23                        does not trade
(GURTH) 800             receives (LKOPER) 365            and sends to (KASZKIET) 220
(GURTH) 801                         does not trade
(HARUN) 618                         does not trade
(HARUN) 619                         does not trade
(HARUN) 620                         does not trade
(HARUN) 621             receives (RAZUL) 299             and sends to (KAMIL27) 169
(INDAREK) 906                       does not trade
(INDAREK) 907                       does not trade
(INDAREK) 908                       does not trade
(INDAREK) 909                       does not trade
(INDAREK) 910           receives (APIEJH) 735            and sends to (RAZUL) 326
(INDAREK) 911                       does not trade
(INDAREK) 917           receives (ADALBERT) 991          and sends to (RAZUL) 680
(INDAREK) 932                       does not trade
(INDAREK) 997                       does not trade
(JACEKBARBER) 445                   does not trade
(JACEKBARBER) 447                   does not trade
(JACEKBARBER) 448       receives (ANOPTICHTYS) 662       and sends to (ANOPTICHTYS) 1022
(JACEKBARBER) 739                   does not trade
(JACEK_PL) 368                      does not trade
(JACEK_PL) 369          receives (RAZUL) 306             and sends to (KRIONAH) 646
(JASKIER) 65            receives (PIECHU) 260            and sends to (EREM) 637
(JASKIER) 66                        does not trade
(JENNY70) 550                       does not trade
(JENNY70) 551                       does not trade
(JENNY70) 553                       does not trade
(JENNY70) 555                       does not trade
(JENNY70) 557                       does not trade
(JENNY70) 558                       does not trade
(JENNY70) 559                       does not trade
(JENNY70) 560                       does not trade
(JENNY70) 561                       does not trade
(JENNY70) 562                       does not trade
(JENNY70) 563                       does not trade
(JENNY70) 564                       does not trade
(JENNY70) 565                       does not trade
(JENNY70) 566                       does not trade
(JENNY70) 567                       does not trade
(JENNY70) 568                       does not trade
(JENNY70) 569                       does not trade
(JENNY70) 570                       does not trade
(JENNY70) 571                       does not trade
(JENNY70) 572                       does not trade
(JENNY70) 573                       does not trade
(JENNY70) 574                       does not trade
(JENNY70) 575                       does not trade
(JENNY70) 576                       does not trade
(JENNY70) 577           receives (PIECHU) 238            and sends to (MNOWACZY) 353
(JENNY70) 578           receives (PIECHU) 254            and sends to (KASZKIET) 231
(JENNY70) 762                       does not trade
(JENNY70) 763                       does not trade
(JINGOWAWA) 173                     does not trade
(JINGOWAWA) 174         receives (NEWGATE) 236           and sends to (ADMI99) 484
(JINGOWAWA) 175                     does not trade
(JINGOWAWA) 176                     does not trade
(JINGOWAWA) 711                     does not trade
(JINGOWAWA) 712         receives (GINET1) 695            and sends to (GRUNWALD) 52
(JOANNA_KOZLOWSKA6) 614             does not trade
(JOANNA_KOZLOWSKA6) 615             does not trade
(JOANNA_KOZLOWSKA6) 616 receives (SYDONIAA) 483          and sends to (SYDONIAA) 1
(JOANNA_KOZLOWSKA6) 617             does not trade
(JONEK) 719                         does not trade
(JONEK) 720                         does not trade
(JONEK) 721             receives (OMAM1234) 633          and sends to (SASQUACH77) 863
(KAMIL27) 167                       does not trade
(KAMIL27) 168                       does not trade
(KAMIL27) 169           receives (HARUN) 621             and sends to (RAZUL) 672
(KAMIL27) 170                       does not trade
(KAMIL27) 171                       does not trade
(KAMIL27) 172           receives (MALEKITH_86) 782       and sends to (BADYL) 579
(KAMIL27) 429                       does not trade
(KASZKIET) 206                      does not trade
(KASZKIET) 207                      does not trade
(KASZKIET) 208                      does not trade
(KASZKIET) 209                      does not trade
(KASZKIET) 210                      does not trade
(KASZKIET) 211                      does not trade
(KASZKIET) 212                      does not trade
(KASZKIET) 213                      does not trade
(KASZKIET) 214          receives (MALEKITH_86) 785       and sends to (GAMBIT_GGK) 904
(KASZKIET) 215          receives (8JANEK8) 841           and sends to (VELJAREK) 383
(KASZKIET) 216                      does not trade
(KASZKIET) 217          receives (8JANEK8) 836           and sends to (WAPNIAK) 486
(KASZKIET) 218          receives (VELJAREK) 392          and sends to (GRUNWALD) 58
(KASZKIET) 219                      does not trade
(KASZKIET) 220          receives (GURTH) 800             and sends to (ADMI99) 72
(KASZKIET) 221                      does not trade
(KASZKIET) 222                      does not trade
(KASZKIET) 223          receives (PIECHU) 249            and sends to (PTKW) 399
(KASZKIET) 228                      does not trade
(KASZKIET) 229                      does not trade
(KASZKIET) 231          receives (JENNY70) 578           and sends to (SYDONIAA) 9
(KASZKIET) 233                      does not trade
(KASZKIET) 493          receives (_AIS_) 825             and sends to (CYBEROWCA) 225
(KDSZ) 59                           does not trade
(KDSZ) 60                           does not trade
(KDSZ) 61                           does not trade
(KERUKR) 828                        does not trade
(KERUKR) 829                        does not trade
(KERUKR) 830                        does not trade
(KERUKR) 831            receives (MEFIUG) 136            and sends to (KMET) 608
(KERUKR) 832                        does not trade
(KERUKR) 833            receives (DONATELLO23) 367       and sends to (ADALBERT) 994
(KERUKR) 838                        does not trade
(KERUKR) 840                        does not trade
(KLOS_X) 495                        does not trade
(KLOS_X) 496                        does not trade
(KLOS_X) 497                        does not trade
(KLOS_X) 499                        does not trade
(KLOS_X) 500                        does not trade
(KLOS_X) 502                        does not trade
(KLOS_X) 503                        does not trade
(KLOS_X) 505                        does not trade
(KLOS_X) 506                        does not trade
(KLOS_X) 507                        does not trade
(KLOS_X) 508                        does not trade
(KLOS_X) 509                        does not trade
(KLOS_X) 511                        does not trade
(KLOS_X) 512                        does not trade
(KLOS_X) 513                        does not trade
(KLOS_X) 514                        does not trade
(KLOS_X) 515                        does not trade
(KLOS_X) 516                        does not trade
(KLOS_X) 517                        does not trade
(KLOS_X) 518                        does not trade
(KLOS_X) 519                        does not trade
(KLOS_X) 520                        does not trade
(KLOS_X) 521                        does not trade
(KLOS_X) 522                        does not trade
(KLOS_X) 523                        does not trade
(KLOS_X) 524                        does not trade
(KLOS_X) 525            receives (RAZUL) 680             and sends to (OSTRY) 1005
(KLOS_X) 526                        does not trade
(KLOS_X) 527                        does not trade
(KLOS_X) 528            receives (CACTUSSE) 127          and sends to (FANTAZYN) 166
(KLOS_X) 529                        does not trade
(KLOS_X) 530                        does not trade
(KLOS_X) 531                        does not trade
(KLOS_X) 532                        does not trade
(KLOS_X) 533            receives (RAZUL) 316             and sends to (MEFIUG) 136
(KMET) 606                          does not trade
(KMET) 607                          does not trade
(KMET) 608              receives (KERUKR) 831            and sends to (8JANEK8) 842
(KMET) 609                          does not trade
(KONRADSTPN) 455                    does not trade
(KONRADSTPN) 456                    does not trade
(KONRADSTPN) 458                    does not trade
(KONRADSTPN) 459                    does not trade
(KONRADSTPN) 460                    does not trade
(KONRADSTPN) 461                    does not trade
(KONRADSTPN) 463                    does not trade
(KONRADSTPN) 464                    does not trade
(KONRADSTPN) 944        receives (ANOPTICHTYS) 1027      and sends to (TOMB66) 844
(KONTRABAS) 795                     does not trade
(KONTRABAS) 796                     does not trade
(KONTRABAS) 797                     does not trade
(KONTRABAS) 798                     does not trade
(KONTRABAS) 803         receives (EREM) 640              and sends to (ANOPTICHTYS) 1027
(KONTRABAS) 804                     does not trade
(KRIONAH) 642           receives (CORABB) 441            and sends to (_AIS_) 825
(KRIONAH) 643                       does not trade
(KRIONAH) 644                       does not trade
(KRIONAH) 645                       does not trade
(KRIONAH) 646           receives (JACEK_PL) 369          and sends to (CRSUNIK) 147
(KRISSOS) 452                       does not trade
(KRISSOS) 453           receives (TIKTUK) 878            and sends to (EMUNOWAK) 474
(KRISSOS) 454           receives (MEFIUG) 113            and sends to (WAPNIAK) 466
(LHAPKA) 393            receives (WAPNIAK) 466           and sends to (FIZOLOF) 915
(LHAPKA) 394                        does not trade
(LHAPKA) 395                        does not trade
(LHAPKA) 396            receives (FANTAZYN) 166          and sends to (CHRUSZCZOW) 90
(LHAPKA) 397                        does not trade
(LHAPKA) 622                        does not trade
(LHAPKA) 623                        does not trade
(LKOPER) 362            receives (BOBULE) 50             and sends to (YUZJANNOWITZ) 141
(LKOPER) 363                        does not trade
(LKOPER) 364                        does not trade
(LKOPER) 365            receives (ADMI99) 484            and sends to (GURTH) 800
(LOTHEG) 534                        does not trade
(LOTHEG) 535                        does not trade
(LOTHEG) 536                        does not trade
(LOTHEG) 537                        does not trade
(LUBEL) 331                         does not trade
(LUBEL) 333             receives (RZEZIO) 288            and sends to (CORABB) 441
(LUBEL) 334                         does not trade
(LUBEL) 336                         does not trade
(LUBEL) 338                         does not trade
(LUBEL) 339             receives (SYDONIAA) 1            and sends to (GRZECHOO104) 943
(LUBEL) 340             receives (MELLOWFRUIT) 178       and sends to (QBALDUS1) 405
(LUBEL) 341             receives (MATGIE) 346            and sends to (BOBULE) 53
(LUBEL) 342             receives (BOBULE) 55             and sends to (BARTI18) 480
(LUKASZ90) 912          receives (ANOPTICHTYS) 1022      and sends to (TIKTUK) 878
(LUKASZ90) 923                      does not trade
(LYSYPK) 647                        does not trade
(LYSYPK) 648                        does not trade
(LYSYPK) 738                        does not trade
(LYSYPK) 799            receives (MILEV) 988             and sends to (8JANEK8) 835
(MACHNIC) 848                       does not trade
(MAJKOS) 665                        does not trade
(MAJKOS) 666                        does not trade
(MALEKITH_86) 765                   does not trade
(MALEKITH_86) 766       receives (RAZUL) 672             and sends to (RZEZIO) 288
(MALEKITH_86) 768                   does not trade
(MALEKITH_86) 769                   does not trade
(MALEKITH_86) 770                   does not trade
(MALEKITH_86) 771                   does not trade
(MALEKITH_86) 772                   does not trade
(MALEKITH_86) 773                   does not trade
(MALEKITH_86) 774                   does not trade
(MALEKITH_86) 775                   does not trade
(MALEKITH_86) 776                   does not trade
(MALEKITH_86) 777                   does not trade
(MALEKITH_86) 778                   does not trade
(MALEKITH_86) 779                   does not trade
(MALEKITH_86) 780                   does not trade
(MALEKITH_86) 781                   does not trade
(MALEKITH_86) 782       receives (8JANEK8) 835           and sends to (KAMIL27) 172
(MALEKITH_86) 783       receives (NAJPERSKLAKA) 837      and sends to (CRSUNIK) 143
(MALEKITH_86) 784                   does not trade
(MALEKITH_86) 785       receives (BADYL) 579             and sends to (KASZKIET) 214
(MATGIE) 343            receives (ROXAS1231) 757         and sends to (ANOPTICHTYS) 1025
(MATGIE) 344                        does not trade
(MATGIE) 345                        does not trade
(MATGIE) 346            receives (BARTI18) 953           and sends to (LUBEL) 341
(MATGIE) 347                        does not trade
(MATGIE) 349                        does not trade
(MATGIE) 350                        does not trade
(MATGIE) 351                        does not trade
(MATGIE) 352                        does not trade
(MEFIUG) 113            receives (NEWGATE) 234           and sends to (KRISSOS) 454
(MEFIUG) 118                        does not trade
(MEFIUG) 123                        does not trade
(MEFIUG) 125                        does not trade
(MEFIUG) 131                        does not trade
(MEFIUG) 134            receives (BOBULE) 53             and sends to (CACTUSSE) 126
(MEFIUG) 135                        does not trade
(MEFIUG) 136            receives (KLOS_X) 533            and sends to (KERUKR) 831
(MEFIUG) 137                        does not trade
(MEFIUG) 138                        does not trade
(MEFIUG) 139                        does not trade
(MEFIUG) 140                        does not trade
(MELLOWFRUIT) 177       receives (COIN22) 546            and sends to (BLACKSLACK) 179
(MELLOWFRUIT) 178       receives (AMANDOR) 84            and sends to (LUBEL) 340
(MELLOWFRUIT) 180                   does not trade
(MELLOWFRUIT) 181                   does not trade
(MELLOWFRUIT) 182                   does not trade
(MELLOWFRUIT) 184                   does not trade
(MELLOWFRUIT) 185                   does not trade
(MELLOWFRUIT) 192                   does not trade
(MELLOWFRUIT) 205                   does not trade
(MICZI92) 290                       does not trade
(MICZI92) 291           receives (WAPNIAK) 486           and sends to (WUJEK2114) 853
(MILEV) 984                         does not trade
(MILEV) 985                         does not trade
(MILEV) 986                         does not trade
(MILEV) 987                         does not trade
(MILEV) 988             receives (GRZECHOO104) 943       and sends to (LYSYPK) 799
(MILEV) 989             receives (EXDEATH44) 372         and sends to (TUMINURE) 809
(MISHIRE) 990                       does not trade
(MNOWACZY) 353          receives (JENNY70) 577           and sends to (RAZUL) 327
(MNOWACZY) 354                      does not trade
(MNOWACZY) 355                      does not trade
(MNOWACZY) 356                      does not trade
(MNOWACZY) 357                      does not trade
(MNOWACZY) 827                      does not trade
(MORKRET) 1000                      does not trade
(MORKRET) 1001                      does not trade
(MORKRET) 1002                      does not trade
(MORKRET) 1003                      does not trade
(MORKRET) 1004                      does not trade
(MORKRET) 998                       does not trade
(MORKRET) 999                       does not trade
(MUNCHHAUSEN) 68                    does not trade
(NAJPERSKLAKA) 834                  does not trade
(NAJPERSKLAKA) 837      receives (DRKLINGMANN) 741       and sends to (MALEKITH_86) 783
(NAJPERSKLAKA) 839                  does not trade
(NEISHIN) 487                       does not trade
(NEISHIN) 488                       does not trade
(NEISHIN) 489                       does not trade
(NEISHIN) 490                       does not trade
(NEISHIN) 491                       does not trade
(NEISHIN) 492                       does not trade
(NEKKORU) 37                        does not trade
(NEKKORU) 38                        does not trade
(NEKKORU) 39                        does not trade
(NEKKORU) 40                        does not trade
(NEKKORU) 41                        does not trade
(NEKKORU) 42                        does not trade
(NEKKORU) 43                        does not trade
(NEKKORU) 44                        does not trade
(NEKKORU) 45                        does not trade
(NEKKORU) 46                        does not trade
(NEKKORU) 47            receives (OMAM1234) 632          and sends to (PROBBI) 871
(NEKKORU) 48                        does not trade
(NEKKORU) 49                        does not trade
(NEWGATE) 234           receives (BARTI18) 481           and sends to (MEFIUG) 113
(NEWGATE) 235           receives (WAPNIAK) 468           and sends to (ROXAS1231) 759
(NEWGATE) 236           receives (PROBBI) 871            and sends to (JINGOWAWA) 174
