TradeMaximizer Version 1.4a
Options: ALLOW-DUMMIES LINEAR-PRIORITIES REQUIRE-COLONS REQUIRE-USERNAMES SHOW-MISSING SMALL-STEP=0 BIG-STEP=1

Input Checksum: ac355fec980c43814678863627de8c9
ERRORS:
**** Item %CACAO for user (MOCKINGBIRD5433) is repeated in want list for 464.
**** Item %CENTURY__EASTERN_WONDERS for user (JINGOWAWA) has multiple want lists--ignoring all but first.  (Sometimes the result of an accidental line break in the middle of a want list.)
**** Item %CENTURY__EASTERN_WONDERS for user (JINGOWAWA) is repeated in want list for 802.
**** Item %CLOCKWORKWARS for user (KARRIARI) is repeated in want list for 705.
**** Item %COLTEXPRESS for user (OMAM1234) is repeated in want list for 245.
**** Item %COLTEXPRESS for user (OMAM1234) is repeated in want list for 247.
**** Item %FIVETRIBES for user (CORQAN) is repeated in want list for 187.
**** Item %THROUGH_THE_AGES_A_NEW_STORY_OF_CIVILIZATION for user (TENCZ) is repeated in want list for 591.
**** Item %T_I_M_E_STORIES for user (BROM69) is repeated in want list for 336.
**** Item 169 is repeated in want list for 915.
**** Item 169 is repeated in want list for 916.
**** Item 169 is repeated in want list for 917.
**** Item 169 is repeated in want list for 937.
**** Item 169 is repeated in want list for 951.
**** Item 963 contains item 936 sender from the same user ((POKET))
**** Item 973 is repeated in want list for 245.
**** Unknown item %CENTURY_A_NEW_WORLD for user (MEFIUG) (6 occurrences)
**** Unknown item %DECKSCAPE_TEST_TIME_DECKSCAPE_THE_FATE_OF_LONDON for user (ADMI99) (1 occurrence)
**** Unknown item %KING_OF_TOKYO_KING_OF_TOKYO_POWER_UP_KING_OF_TOKYO_NEW_YORK_MONSTER_PACK_CTHULHU_KING_OF_TOKYO_NEW_YORK_MONSTER_PACK_KING_KONG for user (MEFIUG) (5 occurrences)
**** Unknown item 306 (2 occurrences)
**** Unknown item 412 (11 occurrences)
**** Unknown item 480 (6 occurrences)
**** Unknown item 484 (11 occurrences)
**** Unknown item 708 (12 occurrences)
**** Unknown item 907 (5 occurrences)
**** Unknown item 909 (12 occurrences)
**** Unknown item 910 (1 occurrence)
**** Unknown item 912 (2 occurrences)
**** Unknown item 913 (2 occurrences)
**** Unknown item 945 (21 occurrences)
**** Unknown item 946 (13 occurrences)

TRADE LOOPS (209 total trades):

(_AIS_) 884            receives (WOTHAN) 137
(JINGOWAWA) 802        receives (MOCKINGBIRD5433) 877  and sends to (ADALBERT) 215
(KARRIARI) 684                     does not trade
(KARRIARI) 687         receives (RAZUL) 1011           and sends to (RAZUL) 89
(KARRIARI) 691                     does not trade
(KARRIARI) 698                     does not trade
(KARRIARI) 699                     does not trade
(KARRIARI) 700                     does not trade
(KARRIARI) 701                     does not trade
(KARRIARI) 702                     does not trade
(KARRIARI) 703                     does not trade
(KARRIARI) 704                     does not trade
(KARRIARI) 705                     does not trade
(KARRIARI) 706                     does not trade
(KARRIARI) 707                     does not trade
(KASZKIET) 399                     does not trade
(KASZKIET) 400         receives (MAT_EYO) 200          and sends to (BARTP) 123
(KASZKIET) 401                     does not trade
(KASZKIET) 402         receives (B3R53RK3R) 762        and sends to (BALIS) 746
(KASZKIET) 403         receives (MELUSINA) 967         and sends to (SWONICK) 315
(KASZKIET) 404                     does not trade
(KASZKIET) 405                     does not trade
(KASZKIET) 406                     does not trade
(KASZKIET) 407                     does not trade
(KASZKIET) 408                     does not trade
(KASZKIET) 409                     does not trade
(KDSZ) 188                         does not trade
(KDSZ) 56              receives (TENCZ) 591            and sends to (MEFIUG) 422
(KDSZ) 57                          does not trade
(KDSZ) 58                          does not trade
(KDSZ) 59              receives (STASZEK) 1017         and sends to (KONRADSTPN) 866
(KDSZ) 60              receives (RAZUL) 236            and sends to (ZERO_1627) 271
(KERUKR) 805                       does not trade
(KERUKR) 806                       does not trade
(KERUKR) 807                       does not trade
(KERUKR) 808                       does not trade
(KERUKR) 809                       does not trade
(KERUKR) 810                       does not trade
(KIDI) 532             receives (ARMIGER) 80           and sends to (GRALA) 258
(KIDI) 533                         does not trade
(KIDI) 534                         does not trade
(KIDI) 535                         does not trade
(KIDI) 536                         does not trade
(KIDI) 539                         does not trade
(KIDI) 612                         does not trade
(KIDI) 673                         does not trade
(KIDI) 675                         does not trade
(KLOS_X) 362                       does not trade
(KLOS_X) 363                       does not trade
(KLOS_X) 364                       does not trade
(KLOS_X) 365                       does not trade
(KLOS_X) 366                       does not trade
(KLOS_X) 367                       does not trade
(KLOS_X) 368                       does not trade
(KLOS_X) 369                       does not trade
(KLOS_X) 370                       does not trade
(KLOS_X) 371                       does not trade
(KLOS_X) 372                       does not trade
(KLOS_X) 373                       does not trade
(KLOS_X) 374           receives (BARTP) 123            and sends to (MINNENMIN) 261
(KLOS_X) 375                       does not trade
(KLOS_X) 376           receives (ZBAJSZEK) 604         and sends to (OMAM1234) 248
(KLOS_X) 377                       does not trade
(KLOS_X) 378                       does not trade
(KLOS_X) 379                       does not trade
(KLOS_X) 380                       does not trade
(KLOS_X) 381                       does not trade
(KLOS_X) 382           receives (POKET) 944            and sends to (KMET) 614
(KLOS_X) 383                       does not trade
(KLOS_X) 384                       does not trade
(KLOS_X) 385                       does not trade
(KLOS_X) 386                       does not trade
(KLOS_X) 387                       does not trade
(KLOS_X) 388                       does not trade
(KLOS_X) 389                       does not trade
(KLOS_X) 390                       does not trade
(KLOS_X) 391                       does not trade
(KLOS_X) 392                       does not trade
(KLOS_X) 393                       does not trade
(KLOS_X) 394                       does not trade
(KLOS_X) 395                       does not trade
(KLOS_X) 396                       does not trade
(KLOS_X) 397                       does not trade
(KLOS_X) 398                       does not trade
(KLOS_X) 419                       does not trade
(KLOS_X) 823                       does not trade
(KLOS_X) 863                       does not trade
(KMET) 613                         does not trade
(KMET) 614             receives (KLOS_X) 382           and sends to (FANTAZYN) 268
(KMET) 615                         does not trade
(KMET) 616                         does not trade
(KONRADSTPN) 291                   does not trade
(KONRADSTPN) 292                   does not trade
(KONRADSTPN) 293                   does not trade
(KONRADSTPN) 294                   does not trade
(KONRADSTPN) 295       receives (LASSE LINDSTROM) 589  and sends to (MELUSINA) 965
(KONRADSTPN) 296                   does not trade
(KONRADSTPN) 297                   does not trade
(KONRADSTPN) 298                   does not trade
(KONRADSTPN) 299                   does not trade
(KONRADSTPN) 300                   does not trade
(KONRADSTPN) 301                   does not trade
(KONRADSTPN) 302                   does not trade
(KONRADSTPN) 303       receives (LOTHRAIN) 900         and sends to (ADMI99) 265
(KONRADSTPN) 304                   does not trade
(KONRADSTPN) 305                   does not trade
(KONRADSTPN) 865                   does not trade
(KONRADSTPN) 866       receives (KDSZ) 59              and sends to (MELUSINA) 967
(KONRADSTPN) 868                   does not trade
(KONSU) 867                        does not trade
(KONSU) 869            receives (SWONICK) 312          and sends to (8RAMBO88) 251
(KONSU) 870                        does not trade
(KONSU) 871                        does not trade
(KONSU) 872                        does not trade
(KONSU) 873            receives (MALKOLMX) 853         and sends to (SIENJASIEK) 902
(KONSU) 874                        does not trade
(KONSU) 875                        does not trade
(KONSU) 876                        does not trade
(KONTRABAS) 690                    does not trade
(KONTRABAS) 692                    does not trade
(KONTRABAS) 693                    does not trade
(KONTRABAS) 694                    does not trade
(KONTRABAS) 695                    does not trade
(KONTRABAS) 696                    does not trade
(KONTRABAS) 697                    does not trade
(KONTRABAS) 712                    does not trade
(KOSTYR) 983                       does not trade
(KOSTYR) 984                       does not trade
(KOSTYR) 985                       does not trade
(KOSTYR) 986                       does not trade
(KOSTYR) 987                       does not trade
(KOSTYR) 988                       does not trade
(KOSTYR) 989                       does not trade
(KOSTYR) 990                       does not trade
(KOSTYR) 991                       does not trade
(KOSTYR) 992                       does not trade
(KOSTYR) 993           receives (OMAM1234) 248         and sends to (ADMI99) 482
(KOSTYR) 994                       does not trade
(KOSTYR) 995           receives (MEFIUG) 434           and sends to (RAZUL) 577
(KOSTYR) 996                       does not trade
(KRIONAH) 349                      does not trade
(KRIONAH) 350                      does not trade
(KRIONAH) 351          receives (ULUSIEK) 129          and sends to (LASSE LINDSTROM) 585
(KRIONAH) 352                      does not trade
(KRIONAH) 353                      does not trade
(KRIONAH) 354                      does not trade
(KRIONAH) 355          receives (SHADOWA) 609          and sends to (FURAN) 67
(KRIONAH) 356          receives (GOODGUY) 471          and sends to (VDER) 619
(KRIONAH) 357                      does not trade
(KRIONAH) 358                      does not trade
(KRIONAH) 647                      does not trade
(KURUNIR) 678                      does not trade
(KURUNIR) 680                      does not trade
(KURUNIR) 736                      does not trade
(LASSE LINDSTROM) 574              does not trade
(LASSE LINDSTROM) 585  receives (KRIONAH) 351          and sends to (POKET) 944
(LASSE LINDSTROM) 586              does not trade
(LASSE LINDSTROM) 587              does not trade
(LASSE LINDSTROM) 588              does not trade
(LASSE LINDSTROM) 589  receives (DERTAZ) 927           and sends to (KONRADSTPN) 295
(LEMON8TREE) 278                   does not trade
(LKOPER) 345                       does not trade
(LKOPER) 346                       does not trade
(LKOPER) 347                       does not trade
(LKOPER) 348                       does not trade
(LOMAX1983) 54         receives (PROBBI) 579           and sends to (WILCZELYKO) 451
(LOMAX1983) 55         receives (CAMEROON) 338         and sends to (MALEKITH_86) 19
(LOTHEG) 279                       does not trade
(LOTHEG) 280           receives (MOCKINGBIRD5433) 462  and sends to (MEFIUG) 430
(LOTHEG) 281                       does not trade
(LOTHEG) 282                       does not trade
(LOTHEG) 283                       does not trade
(LOTHRAIN) 889                     does not trade
(LOTHRAIN) 890                     does not trade
(LOTHRAIN) 891         receives (PITONOWIE) 733        and sends to (MAT_EYO) 559
(LOTHRAIN) 892                     does not trade
(LOTHRAIN) 893                     does not trade
(LOTHRAIN) 895                     does not trade
(LOTHRAIN) 900         receives (MALEKITH_86) 26       and sends to (KONRADSTPN) 303
(M1SHA) 886            receives (SIENJASIEK) 902       and sends to (RAZUL) 232
(M1SHA) 887                        does not trade
(M1SHA) 888            receives (DAWTA) 582            and sends to (MOCKINGBIRD5433) 462
(MAJKOS) 74                        does not trade
(MALEKITH_86) 16                   does not trade
(MALEKITH_86) 17                   does not trade
(MALEKITH_86) 18                   does not trade
(MALEKITH_86) 19       receives (LOMAX1983) 55         and sends to (ADALBERT) 212
(MALEKITH_86) 20                   does not trade
(MALEKITH_86) 21                   does not trade
(MALEKITH_86) 22                   does not trade
(MALEKITH_86) 23                   does not trade
(MALEKITH_86) 24                   does not trade
(MALEKITH_86) 25       receives (SIREVAN) 71           and sends to (DETRYTUS) 804
(MALEKITH_86) 26       receives (SZLESZYM) 65          and sends to (LOTHRAIN) 900
(MALEKITH_86) 27                   does not trade
(MALEKITH_86) 28                   does not trade
(MALEKITH_86) 29       receives (MAT_EYO) 559          and sends to (WAPNIAK) 317
(MALEKITH_86) 30                   does not trade
(MALEKITH_86) 31                   does not trade
(MALEKITH_86) 33       receives (MILEV) 979            and sends to (WOTHAN) 137
(MALEKITH_86) 35                   does not trade
(MALEKITH_86) 37                   does not trade
(MALEKITH_86) 39                   does not trade
(MALEKITH_86) 41                   does not trade
(MALEKITH_86) 43                   does not trade
(MALKOLMX) 847                     does not trade
(MALKOLMX) 849                     does not trade
(MALKOLMX) 850                     does not trade
(MALKOLMX) 851                     does not trade
(MALKOLMX) 852         receives (MOCKINGBIRD5433) 465  and sends to (TUMINURE) 1005
(MALKOLMX) 853         receives (RAZUL) 577            and sends to (KONSU) 873
(MALKOLMX) 854         receives (TUMINURE) 1005        and sends to (RAZUL) 227
(MALKOLMX) 855                     does not trade
(MALKOLMX) 857                     does not trade
(MALKOLMX) 858                     does not trade
(MALKOLMX) 859                     does not trade
(MALKOLMX) 860         receives (MINNENMIN) 263        and sends to (NOOWY) 997
(MALKOLMX) 861                     does not trade
(MALKOLMX) 862                     does not trade
(MALKOLMX) 864                     does not trade
(MARKOO) 796                       does not trade
(MARKOO) 797                       does not trade
(MARKOO) 798                       does not trade
(MARKOO) 799                       does not trade
(MARKOO) 800                       does not trade
(MAT_EYO) 200          receives (PUASHEY90) 147        and sends to (KASZKIET) 400
(MAT_EYO) 201                      does not trade
(MAT_EYO) 202                      does not trade
(MAT_EYO) 203                      does not trade
(MAT_EYO) 204                      does not trade
(MAT_EYO) 205          receives (DETRYTUS) 804         and sends to (MOCKINGBIRD5433) 465
(MAT_EYO) 206          receives (ADMI99) 482           and sends to (GOLONKO) 325
(MAT_EYO) 207                      does not trade
(MAT_EYO) 559          receives (LOTHRAIN) 891         and sends to (MALEKITH_86) 29
(MAZUR84) 665                      does not trade
(MAZUR84) 666          receives (EQUILIBRIUMPL) 440    and sends to (GOODGUY) 471
(MAZUR84) 667                      does not trade
(MAZUR84) 668                      does not trade
(MAZUR84) 670                      does not trade
(MAZUR84) 671                      does not trade
(MAZUR84) 672                      does not trade
(MAZUR84) 674                      does not trade
(MAZUR84) 682                      does not trade
(MAZUR84) 683          receives (MICZI92) 182          and sends to (MELUSINA) 969
(MEFIUG) 420                       does not trade
(MEFIUG) 421           receives (ARCRAYD) 557          and sends to (WAPNIAK) 330
(MEFIUG) 422           receives (KDSZ) 56              and sends to (DERTAZ) 919
(MEFIUG) 423                       does not trade
(MEFIUG) 424                       does not trade
(MEFIUG) 425                       does not trade
(MEFIUG) 426                       does not trade
(MEFIUG) 427                       does not trade
(MEFIUG) 428                       does not trade
(MEFIUG) 429           receives (BROM69) 336           and sends to (SWONICK) 312
(MEFIUG) 430           receives (LOTHEG) 280           and sends to (RAZUL) 1008
(MEFIUG) 431                       does not trade
(MEFIUG) 432                       does not trade
(MEFIUG) 433                       does not trade
(MEFIUG) 434           receives (JENNY70) 845          and sends to (KOSTYR) 995
(MEFIUG) 824           receives (MONOPOLYOWNS) 256     and sends to (CAMEROON) 338
(MEFIUG) 835                       does not trade
(MELUSINA) 960                     does not trade
(MELUSINA) 962                     does not trade
(MELUSINA) 964                     does not trade
(MELUSINA) 965         receives (KONRADSTPN) 295       and sends to (CORABB) 709
(MELUSINA) 966                     does not trade
(MELUSINA) 967         receives (KONRADSTPN) 866       and sends to (KASZKIET) 403
(MELUSINA) 968                     does not trade
(MELUSINA) 969         receives (MAZUR84) 683          and sends to (ZBAJSZEK) 604
(MELUSINA) 970                     does not trade
(MELUSINA) 971                     does not trade
(MELUSINA) 972                     does not trade
(MELUSINA) 973                     does not trade
(MICZI92) 178                      does not trade
(MICZI92) 179          receives (APIEJH) 721           and sends to (SIENJASIEK) 898
(MICZI92) 180                      does not trade
(MICZI92) 181                      does not trade
(MICZI92) 182          receives (CORQAN) 186           and sends to (MAZUR84) 683
(MICZI92) 183          receives (ZBAJSZEK) 596         and sends to (ZBAJSZEK) 598
(MICZI92) 184                      does not trade
(MILEV) 976                        does not trade
(MILEV) 977                        does not trade
(MILEV) 978                        does not trade
(MILEV) 979            receives (CORABB) 709           and sends to (MALEKITH_86) 33
(MILEV) 980                        does not trade
(MILEV) 981            receives (ROXAS1231) 658        and sends to (ROXAS1231) 658
(MILEV) 982                        does not trade
(MINNENMIN) 261        receives (KLOS_X) 374           and sends to (TOMZAQ) 514
(MINNENMIN) 262                    does not trade
(MINNENMIN) 263        receives (8RAMBO88) 251         and sends to (MALKOLMX) 860
(MINNENMIN) 264                    does not trade
(MNOWACZY) 198                     does not trade
(MNOWACZY) 199                     does not trade
(MOCKINGBIRD5433) 456  receives (BALIS) 746            and sends to (MYNAHPL) 939
(MOCKINGBIRD5433) 457              does not trade
(MOCKINGBIRD5433) 458              does not trade
(MOCKINGBIRD5433) 459              does not trade
(MOCKINGBIRD5433) 460  receives (WILCZELYKO) 451       and sends to (PUASHEY90) 143
(MOCKINGBIRD5433) 461              does not trade
(MOCKINGBIRD5433) 462  receives (M1SHA) 888            and sends to (LOTHEG) 280
(MOCKINGBIRD5433) 463  receives (GINET1) 766           and sends to (JENNY70) 842
(MOCKINGBIRD5433) 464              does not trade
(MOCKINGBIRD5433) 465  receives (MAT_EYO) 205          and sends to (MALKOLMX) 852
(MOCKINGBIRD5433) 468  receives (FANTAZYN) 268         and sends to (PIOTR1) 277
(MOCKINGBIRD5433) 469              does not trade
(MOCKINGBIRD5433) 470              does not trade
(MOCKINGBIRD5433) 877  receives (RAZUL) 237            and sends to (JINGOWAWA) 802
(MOCKINGBIRD5433) 878  receives (DERTAZ) 925           and sends to (SCHLESSIER) 506
(MOCKINGBIRD5433) 879              does not trade
(MONOPOLYOWNS) 254                 does not trade
(MONOPOLYOWNS) 255                 does not trade
(MONOPOLYOWNS) 256     receives (SIENJASIEK) 897       and sends to (MEFIUG) 824
(MORKRET) 751                      does not trade
(MORKRET) 752                      does not trade
(MORKRET) 753                      does not trade
(MORKRET) 754                      does not trade
(MORKRET) 755                      does not trade
(MORKRET) 756                      does not trade
(MORKRET) 757                      does not trade
(MORKRET) 758                      does not trade
(MORKRET) 759                      does not trade
(MORKRET) 760                      does not trade
(MORKRET) 761                      does not trade
(MYNAHPL) 939          receives (MOCKINGBIRD5433) 456  and sends to (CZUJNYOBSERWATOR) 344
(MYNAHPL) 941                      does not trade
(MYNAHPL) 943                      does not trade
(NAHAR) 466                        does not trade
(NAJPERSKLAKA) 139                 does not trade
(NAJPERSKLAKA) 140                 does not trade
(NAJPERSKLAKA) 141                 does not trade
(NEKKORU) 1                        does not trade
(NEKKORU) 10                       does not trade
(NEKKORU) 11                       does not trade
(NEKKORU) 12                       does not trade
(NEKKORU) 13                       does not trade
(NEKKORU) 14                       does not trade
(NEKKORU) 15                       does not trade
(NEKKORU) 2                        does not trade
(NEKKORU) 3                        does not trade
(NEKKORU) 4                        does not trade
(NEKKORU) 5                        does not trade
(NEKKORU) 6                        does not trade
(NEKKORU) 7                        does not trade
(NEKKORU) 8                        does not trade
(NEKKORU) 9                        does not trade
(NOOWY) 779                        does not trade
(NOOWY) 780                        does not trade
(NOOWY) 781                        does not trade
(NOOWY) 782                        does not trade
(NOOWY) 783                        does not trade
(NOOWY) 784                        does not trade
(NOOWY) 785                        does not trade
(NOOWY) 786            receives (PIOTR1) 277           and sends to (DERTAZ) 914
(NOOWY) 787                        does not trade
(NOOWY) 788                        does not trade
(NOOWY) 789                        does not trade
(NOOWY) 790                        does not trade
(NOOWY) 791                        does not trade
(NOOWY) 792                        does not trade
(NOOWY) 997            receives (MALKOLMX) 860         and sends to (DERTAZ) 925
(NOOWY) 998                        does not trade
(OBIQ) 284                         does not trade
(OBIQ) 285                         does not trade
(OBIQ) 286                         does not trade
(OMAM1234) 245                     does not trade
(OMAM1234) 247                     does not trade
(OMAM1234) 248         receives (KLOS_X) 376           and sends to (KOSTYR) 993
(OMAM1234) 250                     does not trade
(ORZEH) 191                        does not trade
(ORZEH) 192                        does not trade
(ORZEH) 193                        does not trade
(ORZEH) 194                        does not trade
(ORZEH) 195                        does not trade
(ORZEH) 196                        does not trade
(ORZEH) 197                        does not trade
(OSTRY) 649                        does not trade
(OSTRY) 650                        does not trade
(OSTRY) 651                        does not trade
(OSTRY) 653                        does not trade
(OSTRY) 654                        does not trade
(OSTRY) 656                        does not trade
(OSTRY) 657            receives (GINET1) 772           and sends to (RAZUL) 236
(OSTRY) 659                        does not trade
(OSTRY) 661                        does not trade
(OSTRY) 662                        does not trade
(OSTRY) 663                        does not trade
(OSTRY) 664                        does not trade
(OSTRY) 669                        does not trade
(PERO PAMBARASCO) 359              does not trade
(PERO PAMBARASCO) 856  receives (GURTH) 685            and sends to (GINET1) 766
(PIECHU) 144                       does not trade
(PIECHU) 146                       does not trade
(PIECHU) 150           receives (PITONOWIE) 724        and sends to (RAZUL) 231
(PIECHU) 151                       does not trade
(PIECHU) 152                       does not trade
(PIECHU) 153                       does not trade
(PIECHU) 154                       does not trade
(PIECHU) 155                       does not trade
(PIECHU) 156                       does not trade
(PIECHU) 157                       does not trade
(PIECHU) 158                       does not trade
(PIECHU) 159                       does not trade
(PIECHU) 160                       does not trade
(PIECHU) 161                       does not trade
(PIECHU) 162                       does not trade
(PIECHU) 163                       does not trade
(PIECHU) 164           receives (TOMZAQ) 515           and sends to (CAMEROON) 337
(PIECHU) 165                       does not trade
(PIECHU) 166                       does not trade
(PIECHU) 167                       does not trade
(PIECHU) 168           receives (CORQAN) 187           and sends to (CRSUNIK) 816
(PIECHU) 169                       does not trade
(PIECHU) 170                       does not trade
(PIECHU) 171                       does not trade
(PIECHU) 172                       does not trade
(PIECHU) 173                       does not trade
(PIECHU) 174                       does not trade
(PIECHU) 175                       does not trade
(PIECHU) 537                       does not trade
(PIECHU) 538                       does not trade
(PIECHU) 540                       does not trade
(PIECHU) 541                       does not trade
(PIECHU) 542                       does not trade
(PIECHU) 543                       does not trade
(PIECHU) 544                       does not trade
(PIECHU) 546                       does not trade
(PIECHU) 547                       does not trade
(PIECHU) 548                       does not trade
(PIECHU) 549                       does not trade
(PIECHU) 974                       does not trade
(PIECHU) 975                       does not trade
(PIODAG) 630                       does not trade
(PIOTR1) 275                       does not trade
(PIOTR1) 276           receives (VDER) 619             and sends to (RAPHAELL7) 104
(PIOTR1) 277           receives (MOCKINGBIRD5433) 468  and sends to (NOOWY) 786
(PITONOWIE) 722                    does not trade
(PITONOWIE) 724        receives (CORABB) 715           and sends to (PIECHU) 150
(PITONOWIE) 726                    does not trade
(PITONOWIE) 733        receives (BARTP) 128            and sends to (LOTHRAIN) 891
(POKET) 936                        does not trade
(POKET) 938                        does not trade
(POKET) 940                        does not trade
(POKET) 942                        does not trade
(POKET) 944            receives (LASSE LINDSTROM) 585  and sends to (KLOS_X) 382
(POKET) 949                        does not trade
(POKET) 961                        does not trade
(POKET) 963                        does not trade
(PROBBI) 562           receives (8RAMBO88) 243         and sends to (8RAMBO88) 243
(PROBBI) 568                       does not trade
(PROBBI) 572                       does not trade
(PROBBI) 573                       does not trade
(PROBBI) 576                       does not trade
(PROBBI) 579           receives (PUASHEY90) 148        and sends to (LOMAX1983) 54
(PROBBI) 581           receives (BROM69) 335           and sends to (DERTAZ) 927
(PROBBI) 677                       does not trade
(PTKW) 62                          does not trade
(PTKW) 64              receives (CRSUNIK) 816          and sends to (SWONICK) 485
(PUASHEY90) 143        receives (MOCKINGBIRD5433) 460  and sends to (CORTUMPL) 493
(PUASHEY90) 145                    does not trade
(PUASHEY90) 147        receives (RAZUL) 219            and sends to (MAT_EYO) 200
(PUASHEY90) 148        receives (FIZOLOF) 75           and sends to (PROBBI) 579
(PUASHEY90) 149        receives (FLOWERUS) 821         and sends to (CORQAN) 185
(QBALDUS1) 545                     does not trade
(RADZISZZ) 95                      does not trade
(RADZISZZ) 96                      does not trade
(RAFALOLEK) 81                     does not trade
(RAFALOLEK) 82                     does not trade
(RAFALOLEK) 83                     does not trade
(RAPHAELL7) 100                    does not trade
(RAPHAELL7) 101                    does not trade
(RAPHAELL7) 102                    does not trade
(RAPHAELL7) 103                    does not trade
(RAPHAELL7) 104        receives (PIOTR1) 276           and sends to (APIEJH) 721
(RAPHAELL7) 105                    does not trade
(RAPHAELL7) 106                    does not trade
(RAPHAELL7) 107                    does not trade
(RAPHAELL7) 108                    does not trade
(RAPHAELL7) 109                    does not trade
(RAPHAELL7) 110                    does not trade
(RAPHAELL7) 97                     does not trade
(RAPHAELL7) 98                     does not trade
(RAPHAELL7) 99                     does not trade
(RAZUL) 1008           receives (MEFIUG) 430           and sends to (SHADOWA) 609
(RAZUL) 1009                       does not trade
(RAZUL) 1010                       does not trade
(RAZUL) 1011           receives (WAPNIAK) 317          and sends to (KARRIARI) 687
(RAZUL) 1013                       does not trade
(RAZUL) 217                        does not trade
(RAZUL) 218                        does not trade
(RAZUL) 219            receives (ADALBERT) 212         and sends to (PUASHEY90) 147
(RAZUL) 220                        does not trade
(RAZUL) 221                        does not trade
(RAZUL) 222                        does not trade
(RAZUL) 223                        does not trade
(RAZUL) 224                        does not trade
(RAZUL) 225                        does not trade
(RAZUL) 226                        does not trade
(RAZUL) 227            receives (MALKOLMX) 854         and sends to (SIREVAN) 71
(RAZUL) 228            receives (ZBAJSZEK) 598         and sends to (ULUSIEK) 129
(RAZUL) 229            receives (SCHLESSIER) 506       and sends to (BARTP) 556
(RAZUL) 230                        does not trade
(RAZUL) 231            receives (PIECHU) 150           and sends to (SIPIO) 640
(RAZUL) 232            receives (M1SHA) 886            and sends to (SCHLESSIER) 507
(RAZUL) 233                        does not trade
(RAZUL) 234                        does not trade
(RAZUL) 235            receives (ARCRAYD) 555          and sends to (JACEKBARBER) 778
(RAZUL) 236            receives (OSTRY) 657            and sends to (KDSZ) 60
(RAZUL) 237            receives (SWONICK) 315          and sends to (MOCKINGBIRD5433) 877
(RAZUL) 560                        does not trade
(RAZUL) 561                        does not trade
(RAZUL) 563                        does not trade
(RAZUL) 564                        does not trade
(RAZUL) 565                        does not trade
(RAZUL) 566                        does not trade
(RAZUL) 567                        does not trade
(RAZUL) 569                        does not trade
(RAZUL) 570                        does not trade
(RAZUL) 571                        does not trade
(RAZUL) 575                        does not trade
(RAZUL) 577            receives (KOSTYR) 995           and sends to (MALKOLMX) 853
(RAZUL) 578                        does not trade
(RAZUL) 580                        does not trade
(RAZUL) 583                        does not trade
(RAZUL) 584                        does not trade
(RAZUL) 84                         does not trade
(RAZUL) 85                         does not trade
(RAZUL) 86                         does not trade
(RAZUL) 87             receives (JENNY70) 842          and sends to (GRALA) 259
(RAZUL) 88                         does not trade
(RAZUL) 89             receives (KARRIARI) 687         and sends to (SZLESZYM) 65
(RAZUL) 90                         does not trade
(RAZUL) 91                         does not trade
(RAZUL) 92                         does not trade
(RAZUL) 93                         does not trade
(RAZUL) 94                         does not trade
(ROXAS1231) 648                    does not trade
(ROXAS1231) 652                    does not trade
(ROXAS1231) 655                    does not trade
(ROXAS1231) 658        receives (MILEV) 981            and sends to (MILEV) 981
(ROXAS1231) 660                    does not trade
(RUSS) 811                         does not trade
(RUSS) 812                         does not trade
(RUSS) 813                         does not trade
(RUSS) 814                         does not trade
(RUSS) 815                         does not trade
(SCHLESSIER) 503                   does not trade
(SCHLESSIER) 504                   does not trade
(SCHLESSIER) 505                   does not trade
(SCHLESSIER) 506       receives (MOCKINGBIRD5433) 878  and sends to (RAZUL) 229
(SCHLESSIER) 507       receives (RAZUL) 232            and sends to (BAGESE) 496
(SHADOWA) 606                      does not trade
(SHADOWA) 607          receives (BAGESE) 496           and sends to (ARCRAYD) 555
(SHADOWA) 608                      does not trade
(SHADOWA) 609          receives (RAZUL) 1008           and sends to (KRIONAH) 355
(SHADOWA) 610                      does not trade
(SIENJASIEK) 894                   does not trade
(SIENJASIEK) 896                   does not trade
(SIENJASIEK) 897       receives (SWONICK) 485          and sends to (MONOPOLYOWNS) 256
(SIENJASIEK) 898       receives (MICZI92) 179          and sends to (CORABB) 715
(SIENJASIEK) 899                   does not trade
(SIENJASIEK) 902       receives (KONSU) 873            and sends to (M1SHA) 886
(SIENJASIEK) 903                   does not trade
(SIENJASIEK) 904       receives (DERTAZ) 914           and sends to (STASZEK) 1017
(SIENJASIEK) 911                   does not trade
(SILLUE) 508                       does not trade
(SILLUE) 509                       does not trade
(SILLUE) 510                       does not trade
(SILLUE) 511                       does not trade
(SILLUE) 512                       does not trade
(SIPIO) 622                        does not trade
(SIPIO) 623                        does not trade
(SIPIO) 624                        does not trade
(SIPIO) 625                        does not trade
(SIPIO) 626                        does not trade
(SIPIO) 627                        does not trade
(SIPIO) 628                        does not trade
(SIPIO) 629                        does not trade
(SIPIO) 631                        does not trade
(SIPIO) 632            receives (GINET1) 765           and sends to (VORONWE) 479
(SIPIO) 633                        does not trade
(SIPIO) 634                        does not trade
(SIPIO) 635                        does not trade
(SIPIO) 636                        does not trade
(SIPIO) 637                        does not trade
(SIPIO) 638                        does not trade
(SIPIO) 639                        does not trade
(SIPIO) 640            receives (RAZUL) 231            and sends to (FLOWERUS) 821
(SIPIO) 641                        does not trade
(SIPIO) 642                        does not trade
