TradeMaximizer Version 1.4a
Options: ALLOW-DUMMIES LINEAR-PRIORITIES REQUIRE-COLONS REQUIRE-USERNAMES SHOW-MISSING SMALL-STEP=0 BIG-STEP=1

Input Checksum: 5a909d60639dc9db6755bfd2fdb91a4c
ERRORS:
**** Item %WENDAKE for user (MELLOWFRUIT) is repeated in want list for 451.
**** Item %YETI for user (SIPIO) is repeated in want list for 313.
**** Item 113 contains item 107 sender from the same user ((FIZOLOF))
**** Item 113 contains item 111 sender from the same user ((FIZOLOF))
**** Item 115 contains item 107 sender from the same user ((FIZOLOF))
**** Item 115 contains item 111 sender from the same user ((FIZOLOF))
**** Item 116 contains item 107 sender from the same user ((FIZOLOF))
**** Item 116 contains item 111 sender from the same user ((FIZOLOF))
**** Item 126 is repeated in want list for 113.
**** Item 126 is repeated in want list for 115.
**** Item 126 is repeated in want list for 116.
**** Item 644 is repeated in want list for 113.
**** Item 644 is repeated in want list for 115.
**** Item 644 is repeated in want list for 116.
**** Item 669 is repeated in want list for 468.
**** Item 669 is repeated in want list for 469.
**** Item 669 is repeated in want list for 470.
**** Item 676 has multiple want lists--ignoring all but first.  (Sometimes the result of an accidental line break in the middle of a want list.)
**** Item 676 has multiple want lists--ignoring all but first.  (Sometimes the result of an accidental line break in the middle of a want list.)
**** Unknown item 100 (5 occurrences)
**** Unknown item 108 (9 occurrences)
**** Unknown item 110 (9 occurrences)
**** Unknown item 112 (8 occurrences)
**** Unknown item 114 (17 occurrences)
**** Unknown item 173 (12 occurrences)
**** Unknown item 268 (2 occurrences)
**** Unknown item 576 (11 occurrences)
**** Unknown item 577 (17 occurrences)
**** Unknown item 578 (5 occurrences)
**** Unknown item 579 (4 occurrences)
**** Unknown item 580 (3 occurrences)
**** Unknown item 581 (6 occurrences)
**** Unknown item 713 (3 occurrences)
**** Unknown item 714 (3 occurrences)
**** Unknown item 715 (3 occurrences)
**** Unknown item 716 (3 occurrences)
**** Unknown item 717 (5 occurrences)
**** Unknown item 718 (5 occurrences)
**** Unknown item 719 (3 occurrences)
**** Unknown item 721 (3 occurrences)
**** Unknown item 722 (4 occurrences)
**** Unknown item 723 (3 occurrences)
**** Unknown item 724 (3 occurrences)
**** Unknown item 725 (4 occurrences)
**** Unknown item 790 (10 occurrences)
**** Unknown item 792 (3 occurrences)
**** Unknown item 794 (11 occurrences)
**** Unknown item 796 (3 occurrences)
**** Unknown item 89 (4 occurrences)
**** Unknown item 90 (8 occurrences)
**** Unknown item 94 (4 occurrences)
**** Unknown item 95 (5 occurrences)
**** Unknown item 96 (4 occurrences)
**** Unknown item 97 (4 occurrences)

TRADE LOOPS (147 total trades):

(_AIS_) 602             receives (ADMI99) 91
(MALEKITH_86) 26        receives (YUZJANNOWITZ) 39       and sends to (BALIS) 701
(MALEKITH_86) 28        receives (CIUNIEK) 485           and sends to (GRUNWALD) 341
(MALEKITH_86) 30                    does not trade
(MALEKITH_86) 31                    does not trade
(MALEKITH_86) 32                    does not trade
(MALEKITH_86) 33                    does not trade
(MALEKITH_86) 34                    does not trade
(MALEKITH_86) 36                    does not trade
(MALEKITH_86) 38                    does not trade
(MALEKITH_86) 551       receives (GRUNWALD) 340          and sends to (GRUNWALD) 340
(MALEKITH_86) 648                   does not trade
(MARDAR) 174                        does not trade
(MARDAR) 175            receives (TIKTUK) 554            and sends to (MULEK18) 217
(MARDAR) 176            receives (RUSS) 615              and sends to (NADIS) 385
(MARDAR) 177                        does not trade
(MARDAR) 178            receives (HAPPOSAI) 195          and sends to (FANTAZYN) 48
(MARDAR) 179                        does not trade
(MARDAR) 180                        does not trade
(MARDAR) 181                        does not trade
(MARDAR) 182            receives (SIPIO) 322             and sends to (LUBEL) 315
(MARDAR) 183            receives (PUNRYK) 272            and sends to (EQUILIBRIUMPL) 262
(MARDAR) 184                        does not trade
(MARIOOSH) 127                      does not trade
(MARIOOSH) 128                      does not trade
(MARKOWKA) 656                      does not trade
(MARKOWKA) 657                      does not trade
(MARKOWKA) 658                      does not trade
(MAT_EYO) 665                       does not trade
(MAT_EYO) 666                       does not trade
(MAT_EYO) 667           receives (TRNKS_) 352            and sends to (OSTRY) 793
(MAT_EYO) 669                       does not trade
(MAT_EYO) 670                       does not trade
(MAT_EYO) 671           receives (CIUNIEK) 484           and sends to (CIUNIEK) 485
(MCARON1) 710                       does not trade
(MCARON1) 711                       does not trade
(MCARON1) 712                       does not trade
(MEFIUG) 325                        does not trade
(MEFIUG) 326                        does not trade
(MEFIUG) 327                        does not trade
(MEFIUG) 328                        does not trade
(MEFIUG) 329                        does not trade
(MELLOWFRUIT) 431                   does not trade
(MELLOWFRUIT) 432                   does not trade
(MELLOWFRUIT) 434       receives (LUBOY) 42              and sends to (TRNKS_) 352
(MELLOWFRUIT) 435                   does not trade
(MELLOWFRUIT) 436                   does not trade
(MELLOWFRUIT) 437                   does not trade
(MELLOWFRUIT) 439                   does not trade
(MELLOWFRUIT) 440                   does not trade
(MELLOWFRUIT) 441                   does not trade
(MELLOWFRUIT) 442                   does not trade
(MELLOWFRUIT) 450                   does not trade
(MELLOWFRUIT) 451                   does not trade
(MELLOWFRUIT) 452                   does not trade
(MELLOWFRUIT) 453                   does not trade
(MELLOWFRUIT) 454                   does not trade
(MELLOWFRUIT) 455                   does not trade
(MELLOWFRUIT) 456                   does not trade
(MELLOWFRUIT) 457                   does not trade
(MELLOWFRUIT) 458                   does not trade
(MELLOWFRUIT) 510                   does not trade
(MELLOWFRUIT) 588       receives (HAPPOSAI) 202          and sends to (FPS_PYZ) 473
(MILEV) 506                         does not trade
(MILEV) 507                         does not trade
(MILEV) 508                         does not trade
(MILEV) 509                         does not trade
(MNOWACZY) 375          receives (CHAABER) 574           and sends to (CORABB) 749
(MNOWACZY) 376                      does not trade
(MNOWACZY) 377                      does not trade
(MNOWACZY) 378                      does not trade
(MNOWACZY) 411                      does not trade
(MNOWACZY) 63                       does not trade
(MORKRET) 751                       does not trade
(MORKRET) 752                       does not trade
(MORKRET) 753                       does not trade
(MORKRET) 754                       does not trade
(MORKRET) 755                       does not trade
(MORKRET) 756                       does not trade
(MORKRET) 757                       does not trade
(MORKRET) 758                       does not trade
(MORKRET) 759                       does not trade
(MUK83) 324                         does not trade
(MUK83) 412             receives (KRISSOS) 404           and sends to (MAJKOS) 726
(MULEK18) 212                       does not trade
(MULEK18) 213                       does not trade
(MULEK18) 214                       does not trade
(MULEK18) 215                       does not trade
(MULEK18) 216                       does not trade
(MULEK18) 217           receives (MARDAR) 175            and sends to (OMAM1234) 193
(MULEK18) 218                       does not trade
(NADIS) 381                         does not trade
(NADIS) 383             receives (LUBOY) 44              and sends to (RAZUL) 780
(NADIS) 384                         does not trade
(NADIS) 385             receives (MARDAR) 176            and sends to (MACKILL) 98
(NADIS) 502                         does not trade
(NADIS) 503             receives (TUMINURE) 769          and sends to (TUMINURE) 762
(NADIS) 504                         does not trade
(NADIS) 505                         does not trade
(NARO) 225                          does not trade
(NARO) 71                           does not trade
(NARO) 72                           does not trade
(NARO) 73                           does not trade
(NARO) 74                           does not trade
(NARO) 75                           does not trade
(NARO) 76                           does not trade
(NARO) 77                           does not trade
(NARO) 78                           does not trade
(NEKKORU) 185                       does not trade
(NEKKORU) 186                       does not trade
(NEKKORU) 187                       does not trade
(NEKKORU) 188                       does not trade
(NEKKORU) 189                       does not trade
(NEKKORU) 190                       does not trade
(NEKKORU) 191                       does not trade
(NEKKORU) 192                       does not trade
(NEKKORU) 401           receives (_AIS_) 602             and sends to (TIKTUK) 562
(NEKKORU) 660                       does not trade
(NEKKORU) 661           receives (SANDY86) 515           and sends to (STRASZNY) 654
(NEKKORU) 662                       does not trade
(NEKKORU) 664                       does not trade
(OMAM1234) 193          receives (MULEK18) 217           and sends to (TOMZAQ) 487
(OMAM1234) 194                      does not trade
(OMAM1234) 285                      does not trade
(OMAM1234) 728                      does not trade
(ORZEH) 145                         does not trade
(ORZEH) 146                         does not trade
(ORZEH) 147                         does not trade
(ORZEH) 148             receives (WUJEK2114) 624         and sends to (SIREVAN) 19
(ORZEH) 149                         does not trade
(ORZEH) 151                         does not trade
(ORZEH) 804                         does not trade
(OSTRY) 768                         does not trade
(OSTRY) 773                         does not trade
(OSTRY) 775                         does not trade
(OSTRY) 777                         does not trade
(OSTRY) 779                         does not trade
(OSTRY) 781                         does not trade
(OSTRY) 783             receives (TUMINURE) 761          and sends to (RAZUL) 770
(OSTRY) 784                         does not trade
(OSTRY) 786                         does not trade
(OSTRY) 788                         does not trade
(OSTRY) 789                         does not trade
(OSTRY) 791                         does not trade
(OSTRY) 793             receives (MAT_EYO) 667           and sends to (SYDONIAA) 11
(OSTRY) 795                         does not trade
(OSTRY) 800                         does not trade
(OSTRY) 801                         does not trade
(OSTRY) 802                         does not trade
(OSTRY) 803                         does not trade
(PATOLD) 429                        does not trade
(PATOLD) 430            receives (SIPIO) 320             and sends to (TIKTUK) 554
(PATOLD) 433                        does not trade
(PATOLD) 438                        does not trade
(PIECHU) 353                        does not trade
(PIECHU) 354                        does not trade
(PIECHU) 355                        does not trade
(PIECHU) 356                        does not trade
(PIECHU) 357                        does not trade
(PIECHU) 358                        does not trade
(PIECHU) 359                        does not trade
(PIECHU) 360                        does not trade
(PIECHU) 361                        does not trade
(PIECHU) 362                        does not trade
(PIECHU) 363                        does not trade
(PIECHU) 364                        does not trade
(PIECHU) 365                        does not trade
(PIECHU) 366                        does not trade
(PIECHU) 367                        does not trade
(PIECHU) 368                        does not trade
(PIECHU) 369                        does not trade
(PIECHU) 370                        does not trade
(PIECHU) 371            receives (ZBAJSZEK) 445          and sends to (POKET) 745
(PIECHU) 388                        does not trade
(PIECHU) 389                        does not trade
(PIECHU) 390                        does not trade
(PIECHU) 391                        does not trade
(PIECHU) 392                        does not trade
(PIECHU) 393                        does not trade
(PIECHU) 394                        does not trade
(PIECHU) 395                        does not trade
(PIECHU) 396                        does not trade
(PIECHU) 397                        does not trade
(PIECHU) 679                        does not trade
(PIECHU) 681                        does not trade
(PIECHU) 682                        does not trade
(PIECHU) 688                        does not trade
(PIECHU) 689            receives (MAJKOS) 727            and sends to (ADMI99) 65
(PIORO) 282                         does not trade
(PIORO) 283                         does not trade
(PIORO) 284                         does not trade
(PIOTREKBIER) 582                   does not trade
(PIOTREKBIER) 646                   does not trade
(PIOTREKBIER) 647                   does not trade
(POKET) 745             receives (PIECHU) 371            and sends to (RAZUL) 782
(POKET) 750                         does not trade
(PPIECHUU) 288                      does not trade
(PROBBI) 289                        does not trade
(PROBBI) 290            receives (CRSUNIK) 81            and sends to (SANDY86) 515
(PROBBI) 291                        does not trade
(PROBBI) 292                        does not trade
(PROBBI) 659                        does not trade
(PROBBI) 663                        does not trade
(PROBBI) 668                        does not trade
(PUNIU) 139                         does not trade
(PUNRYK) 269                        does not trade
(PUNRYK) 270                        does not trade
(PUNRYK) 271                        does not trade
(PUNRYK) 272            receives (KLOS_X) 238            and sends to (MARDAR) 183
(PUNRYK) 273            receives (WUJEK2114) 591         and sends to (WIRACHA) 219
(PUNRYK) 274                        does not trade
(PUNRYK) 275                        does not trade
(QBALDUS1) 117                      does not trade
(QBALDUS1) 118                      does not trade
(QBALDUS1) 119          receives (STASZEK) 466           and sends to (KASZKIET) 131
(QRZY88) 79                         does not trade
(QRZY88) 80                         does not trade
(RAZUL) 770             receives (OSTRY) 783             and sends to (KMET) 686
(RAZUL) 772             receives (SANDY86) 531           and sends to (MAJKOS) 727
(RAZUL) 774                         does not trade
(RAZUL) 776                         does not trade
(RAZUL) 778                         does not trade
(RAZUL) 780             receives (NADIS) 383             and sends to (GOLONKO) 171
(RAZUL) 782             receives (POKET) 745             and sends to (ZBAJSZEK) 445
(RAZUL) 785                         does not trade
(RAZUL) 787                         does not trade
(RAZUL) 797                         does not trade
(RAZUL) 798                         does not trade
(ROXAS1231) 628                     does not trade
(ROXAS1231) 630         receives (KASZKIET) 131          and sends to (RUSS) 615
(ROXAS1231) 632         receives (GRUNWALD) 343          and sends to (FIZOLOF) 107
(ROXAS1231) 633         receives (JOANNA_KOZLOWSKA6) 346 and sends to (S3REK92) 516
(ROXAS1231) 634                     does not trade
(ROXAS1231) 635                     does not trade
(ROXAS1231) 636         receives (SIPIO) 308             and sends to (LUKASZ90) 463
(ROXAS1231) 637                     does not trade
(ROXAS1231) 638                     does not trade
(RUDEMAN) 276                       does not trade
(RUDEMAN) 277           receives (GURTH) 645             and sends to (KOSHIASH) 223
(RUDEMAN) 278                       does not trade
(RUDEMAN) 279                       does not trade
(RUDEMAN) 280                       does not trade
(RUDEMAN) 281                       does not trade
(RUSS) 615              receives (ROXAS1231) 630         and sends to (MARDAR) 176
(RUSS) 616                          does not trade
(RUSS) 617                          does not trade
(RUSS) 618                          does not trade
(RUSS) 619                          does not trade
(RUSS) 620                          does not trade
(RUSS) 621                          does not trade
(RUSS) 622                          does not trade
(S3REK92) 516           receives (ROXAS1231) 633         and sends to (DETRYTUS) 331
(SANDY86) 511                       does not trade
(SANDY86) 512                       does not trade
(SANDY86) 513                       does not trade
(SANDY86) 514           receives (GRUCHA) 594            and sends to (CIUNIEK) 482
(SANDY86) 515           receives (PROBBI) 290            and sends to (NEKKORU) 661
(SANDY86) 517                       does not trade
(SANDY86) 520                       does not trade
(SANDY86) 522                       does not trade
(SANDY86) 531           receives (KLOS_X) 244            and sends to (RAZUL) 772
(SCHLESSIER) 379                    does not trade
(SCHLESSIER) 380        receives (TUMINURE) 766          and sends to (KROMKA) 43
(SCHLESSIER) 382                    does not trade
(SCHLESSIER) 387                    does not trade
(SEBASAMURAI) 140                   does not trade
(SEBASAMURAI) 141                   does not trade
(SEBASAMURAI) 142                   does not trade
(SEBASAMURAI) 143                   does not trade
(SEBASAMURAI) 144                   does not trade
(SEBASAMURAI) 152                   does not trade
(SEBASAMURAI) 154                   does not trade
(SEBASAMURAI) 155       receives (LUKASZ90) 463          and sends to (SIPIO) 320
(SEBASAMURAI) 156       receives (CORABB) 749            and sends to (WUJEK2114) 624
(SEBASAMURAI) 163                   does not trade
(SEBASAMURAI) 165                   does not trade
(SEBASAMURAI) 167                   does not trade
(SEBASAMURAI) 168                   does not trade
(SIPIO) 295                         does not trade
(SIPIO) 296                         does not trade
(SIPIO) 297                         does not trade
(SIPIO) 298                         does not trade
(SIPIO) 299                         does not trade
(SIPIO) 300                         does not trade
(SIPIO) 301                         does not trade
(SIPIO) 302                         does not trade
(SIPIO) 303                         does not trade
(SIPIO) 305                         does not trade
(SIPIO) 307                         does not trade
(SIPIO) 308             receives (BARTP) 575             and sends to (ROXAS1231) 636
(SIPIO) 311                         does not trade
(SIPIO) 313                         does not trade
(SIPIO) 314                         does not trade
(SIPIO) 316                         does not trade
(SIPIO) 318                         does not trade
(SIPIO) 320             receives (SEBASAMURAI) 155       and sends to (PATOLD) 430
(SIPIO) 321                         does not trade
(SIPIO) 322             receives (GURTH) 644             and sends to (MARDAR) 182
(SIPIO) 323                         does not trade
(SIREVAN) 18                        does not trade
(SIREVAN) 19            receives (ORZEH) 148             and sends to (HAPPOSAI) 199
(SIREVAN) 20                        does not trade
(SPRYSIALDO) 428        receives (LASSE LINDSTROM) 639   and sends to (JONEK) 676
(STASZEK) 465                       does not trade
(STASZEK) 466           receives (FIZOLOF) 107           and sends to (QBALDUS1) 119
(STASZEK) 467                       does not trade
(STASZEK) 468                       does not trade
(STASZEK) 469                       does not trade
(STASZEK) 470                       does not trade
(STRASZNY) 649          receives (KOSHIASH) 223          and sends to (FPS_PYZ) 471
(STRASZNY) 650                      does not trade
(STRASZNY) 651                      does not trade
(STRASZNY) 652                      does not trade
(STRASZNY) 654          receives (NEKKORU) 661           and sends to (LASSE LINDSTROM) 639
(SYDONIAA) 10                       does not trade
(SYDONIAA) 11           receives (OSTRY) 793             and sends to (GURTH) 645
(SYDONIAA) 12                       does not trade
(SYDONIAA) 13                       does not trade
(SYDONIAA) 14                       does not trade
(SYDONIAA) 15                       does not trade
(SYDONIAA) 16                       does not trade
(SYDONIAA) 17           receives (MALEKITH_86) 25        and sends to (BALIS) 704
(SYDONIAA) 7                        does not trade
(SYDONIAA) 8                        does not trade
(SYDONIAA) 9                        does not trade
(TIKTUK) 552            receives (LUBEL) 309             and sends to (CIUNIEK) 484
(TIKTUK) 553                        does not trade
(TIKTUK) 554            receives (PATOLD) 430            and sends to (MARDAR) 175
(TIKTUK) 555                        does not trade
(TIKTUK) 556                        does not trade
(TIKTUK) 557                        does not trade
(TIKTUK) 558                        does not trade
(TIKTUK) 559                        does not trade
(TIKTUK) 560                        does not trade
(TIKTUK) 561                        does not trade
(TIKTUK) 562            receives (NEKKORU) 401           and sends to (KASZKIET) 386
(TIKTUK) 563                        does not trade
(TIKTUK) 564                        does not trade
(TIKTUK) 565                        does not trade
(TIKTUK) 566                        does not trade
(TIKTUK) 567                        does not trade
(TOMZAQ) 487            receives (OMAM1234) 193          and sends to (LUBEL) 312
(TRNKS_) 351                        does not trade
(TRNKS_) 352            receives (MELLOWFRUIT) 434       and sends to (MAT_EYO) 667
(TUMINURE) 760                      does not trade
(TUMINURE) 761          receives (KRIONAH) 374           and sends to (OSTRY) 783
(TUMINURE) 762          receives (NADIS) 503             and sends to (GRUCHA) 594
(TUMINURE) 763                      does not trade
(TUMINURE) 764          receives (JONEK) 676             and sends to (LUBEL) 309
(TUMINURE) 765                      does not trade
(TUMINURE) 766          receives (FIZOLOF) 105           and sends to (SCHLESSIER) 380
(TUMINURE) 767                      does not trade
(TUMINURE) 769          receives (HAPPOSAI) 199          and sends to (NADIS) 503
(TUMINURE) 771                      does not trade
(WIRACHA) 219           receives (PUNRYK) 273            and sends to (COIN22) 153
(WIRACHA) 220                       does not trade
(WIRACHA) 221                       does not trade
(WUJEK2114) 589                     does not trade
(WUJEK2114) 590                     does not trade
(WUJEK2114) 591         receives (JOANNA_KOZLOWSKA6) 348 and sends to (PUNRYK) 273
(WUJEK2114) 608                     does not trade
(WUJEK2114) 610                     does not trade
(WUJEK2114) 613                     does not trade
(WUJEK2114) 614                     does not trade
(WUJEK2114) 624         receives (SEBASAMURAI) 156       and sends to (ORZEH) 148
(YANOO) 132                         does not trade
(YANOO) 133                         does not trade
(YANOO) 134                         does not trade
(YANOO) 135                         does not trade
(YANOO) 136                         does not trade
(YANOO) 137                         does not trade
(YANOO) 138                         does not trade
(YNIDHOGG) 729                      does not trade
(YNIDHOGG) 730                      does not trade
(YNIDHOGG) 731                      does not trade
(YNIDHOGG) 732                      does not trade
(YNIDHOGG) 733                      does not trade
(YNIDHOGG) 734                      does not trade
(YNIDHOGG) 735                      does not trade
(YNIDHOGG) 736                      does not trade
(YNIDHOGG) 737                      does not trade
(YNIDHOGG) 738                      does not trade
(YNIDHOGG) 739                      does not trade
(YNIDHOGG) 740                      does not trade
(YNIDHOGG) 741                      does not trade
(YNIDHOGG) 742                      does not trade
(YNIDHOGG) 743                      does not trade
(YNIDHOGG) 744                      does not trade
(YUZJANNOWITZ) 39       receives (JENNY70) 542           and sends to (MALEKITH_86) 26
(ZBAJSZEK) 443                      does not trade
(ZBAJSZEK) 444                      does not trade
(ZBAJSZEK) 445          receives (RAZUL) 782             and sends to (PIECHU) 371
(ZBAJSZEK) 446                      does not trade
(ZBAJSZEK) 447                      does not trade
(ZBAJSZEK) 448                      does not trade
(ZBAJSZEK) 449                      does not trade
(ZMIJA) 696                         does not trade
(ZMIJA) 697                         does not trade
(ZMIJA) 698                         does not trade
(_AIS_) 597                         does not trade
(_AIS_) 598                         does not trade
(_AIS_) 599                         does not trade
(_AIS_) 600                         does not trade
(_AIS_) 601                         does not trade
(_AIS_) 602             receives (ADMI99) 91             and sends to (NEKKORU) 401
(_AIS_) 603                         does not trade
(_AIS_) 604             receives (KRISSOS) 402           and sends to (GRUNWALD) 343
(_AIS_) 605                         does not trade
(_AIS_) 606                         does not trade
(_AIS_) 607                         does not trade
(_AIS_) 609                         does not trade
(_AIS_) 611                         does not trade
(_AIS_) 612                         does not trade
(_AIS_) 623                         does not trade

Num trades  = 147 of 766 items (19,2%)
Total cost  = 294 (avg 2,00)
Num groups  = 5
Group sizes = 101 36 4 4 2
Sum squares = 11533
