TradeMaximizer Version 1.4a
Options: ALLOW-DUMMIES LINEAR-PRIORITIES REQUIRE-COLONS REQUIRE-USERNAMES SHOW-MISSING SMALL-STEP=0 BIG-STEP=1

Input Checksum: 6575579fb1848a58172e4e399946712e
ERRORS:
**** Item %BONFIRE for user (ISKRANAPROCHY) is repeated in want list for 2619.
**** Item %DARWIN for user (JAGASTR) has multiple want lists--ignoring all but first.  (Sometimes the result of an accidental line break in the middle of a want list.)
**** Item %DARWIN for user (JAGASTR) is repeated in want list for 2275.
**** Item %DARWIN for user (JAGASTR) is repeated in want list for 2277.
**** Item %DARWIN for user (JAGASTR) is repeated in want list for 2285.
**** Item %DWERGAR for user (KUSIEN) has multiple want lists--ignoring all but first.  (Sometimes the result of an accidental line break in the middle of a want list.)
**** Item %FORGOTTEN_WATERS for user (MARTIXX) is repeated in want list for 1513.
**** Item %FROSTPUNK_ALL_IN for user (POLO15) is repeated in want list for 739.
**** Item %SMALL_WORLD for user (ROPSONIK) is repeated in want list for 1557.
**** Item %SMALL_WORLD for user (ROPSONIK) is repeated in want list for 1559.
**** Item %SMALL_WORLD for user (ROPSONIK) is repeated in want list for 1561.
**** Item %SMALL_WORLD for user (ROPSONIK) is repeated in want list for 1564.
**** Item %SMALL_WORLD for user (ROPSONIK) is repeated in want list for 1566.
**** Item 1483 is repeated in want list for 2094.
**** Item 1851 is repeated in want list for 820.
**** Item 1851 is repeated in want list for 869.
**** Item 1851 is repeated in want list for 870.
**** Item 1851 is repeated in want list for 871.
**** Item 1851 is repeated in want list for 872.
**** Item 1851 is repeated in want list for 875.
**** Item 1851 is repeated in want list for 879.
**** Item 1851 is repeated in want list for 987.
**** Item 1852 is repeated in want list for 869.
**** Item 1852 is repeated in want list for 870.
**** Item 1852 is repeated in want list for 871.
**** Item 1852 is repeated in want list for 872.
**** Item 1852 is repeated in want list for 875.
**** Item 1852 is repeated in want list for 879.
**** Item 1852 is repeated in want list for 987.
**** Item 1883 is repeated in want list for 820.
**** Item 197 is repeated in want list for 1236.
**** Item 1973 is repeated in want list for 1527.
**** Item 228 is repeated in want list for 869.
**** Item 228 is repeated in want list for 870.
**** Item 228 is repeated in want list for 871.
**** Item 228 is repeated in want list for 872.
**** Item 228 is repeated in want list for 875.
**** Item 228 is repeated in want list for 879.
**** Item 228 is repeated in want list for 987.
**** Item 2291 is repeated in want list for 2108.
**** Item 2496 is repeated in want list for 1236.
**** Item 326 is repeated in want list for 2094.
**** Item 351 is repeated in want list for 1236.
**** Item 432 is repeated in want list for 2215.
**** Item 855 is repeated in want list for 2094.
**** Item 878 is repeated in want list for %ROLL_PLAYER for user (JAGGA68).
**** Unknown item %1700438958179 for user (DGRODO) (2 occurrences)
**** Unknown item %BONFIRE_BONFIRE_TREES_CREATURES for user (GABENS29) (1 occurrence)
**** Unknown item %PANDEMIC_FALL_OF_ROME for user (KURUNIR) (1 occurrence)
**** Unknown item %THE_KING_IS_DEAD_SECOND_EDITION_THE_KING_IS_DEAD_BETRAY_PROMO_CARD for user (LEINADUS) (2 occurrences)
**** Unknown item 042 (1 occurrence)
**** Unknown item 1459 (16 occurrences)
**** Unknown item 1462 (4 occurrences)
**** Unknown item 1464 (1 occurrence)
**** Unknown item 1466 (4 occurrences)
**** Unknown item 1468 (50 occurrences)
**** Unknown item 1757 (11 occurrences)
**** Unknown item 1762 (13 occurrences)
**** Unknown item 1764 (4 occurrences)
**** Unknown item 1766 (8 occurrences)
**** Unknown item 1768 (11 occurrences)
**** Unknown item 2164 (8 occurrences)
**** Unknown item 2167 (6 occurrences)
**** Unknown item 2169 (2 occurrences)
**** Unknown item 2170 (30 occurrences)
**** Unknown item 2172 (29 occurrences)
**** Unknown item 2173 (31 occurrences)
**** Unknown item 2175 (44 occurrences)
**** Unknown item 2179 (48 occurrences)
**** Unknown item 2180 (29 occurrences)
**** Unknown item 2181 (5 occurrences)
**** Unknown item 2182 (7 occurrences)
**** Unknown item 2222 (73 occurrences)
**** Unknown item 2224 (31 occurrences)
**** Unknown item 2225 (39 occurrences)
**** Unknown item 2228 (61 occurrences)
**** Unknown item 2230 (6 occurrences)
**** Unknown item 2249 (45 occurrences)
**** Unknown item 2253 (18 occurrences)
**** Unknown item 2490 (39 occurrences)
**** Unknown item 2492 (1 occurrence)
**** Unknown item 2577 (1 occurrence)
**** Unknown item 2578 (60 occurrences)
**** Unknown item 2580 (16 occurrences)
**** Unknown item 2583 (25 occurrences)
**** Unknown item 2585 (29 occurrences)
**** Unknown item 2588 (2 occurrences)
**** Unknown item 2589 (2 occurrences)
**** Unknown item 2594 (31 occurrences)
**** Unknown item 2595 (14 occurrences)
**** Unknown item 2596 (38 occurrences)
**** Unknown item 308 (70 occurrences)
**** Unknown item 309 (6 occurrences)
**** Unknown item 310 (63 occurrences)
**** Unknown item 311 (5 occurrences)
**** Unknown item 312 (107 occurrences)
**** Unknown item 394 (33 occurrences)
**** Unknown item 559 (4 occurrences)

TRADE LOOPS (715 total trades):

(_SLY_) 451            receives (ANOPTICHTYS) 1614
(BADO666) 1023                     does not trade
(BADO666) 1024                     does not trade
(BALD_MASTER) 462      receives (BAARTOSZZ) 390        and sends to (MDROZDZIOK9595) 1179
(BALD_MASTER) 464                  does not trade
(BART HENRY) 2193                  does not trade
(BART HENRY) 2197      receives (LUKASHI) 610          and sends to (RAFMIX) 764
(BART HENRY) 2209                  does not trade
(BART HENRY) 2227                  does not trade
(BART HENRY) 2236      receives (DGRODO) 1433          and sends to (HELLOWEEN85) 858
(BART HENRY) 2240      receives (JNOWACZY) 431         and sends to (MARUDA_24) 1059
(BART HENRY) 2274                  does not trade
(BART HENRY) 2284      receives (RHINO055) 1883        and sends to (DARKERSIDE) 944
(BARTJ) 1927                       does not trade
(BARTJ) 1928                       does not trade
(BARTJ) 1929                       does not trade
(BARTJ) 1930                       does not trade
(BARTJ) 1931                       does not trade
(BARTMAN71) 1700                   does not trade
(BARTMAN71) 1701                   does not trade
(BARTMAN71) 1702       receives (VDER) 2107            and sends to (JACEKBARBER) 1353
(BARTMAN71) 1707                   does not trade
(BARTMAN71) 1711                   does not trade
(BARTMAN71) 1713       receives (SZCZEPAN89) 4         and sends to (RAFMIX) 782
(BARTMAN71) 1716       receives (PANODDJOB00) 1807     and sends to (KRYSTEK) 714
(BARTMAN71) 1717                   does not trade
(BARTMAN71) 1721                   does not trade
(BARTMAN71) 1902                   does not trade
(BARTP) 897                        does not trade
(BARTP) 899                        does not trade
(BARTP) 900                        does not trade
(BARTP) 901                        does not trade
(BARTP) 903                        does not trade
(BARTP) 904                        does not trade
(BARTP) 907                        does not trade
(BARTP) 908                        does not trade
(BARTP) 909                        does not trade
(BARTP) 910                        does not trade
(BARTP) 911                        does not trade
(BARTP) 912                        does not trade
(BARTP) 913                        does not trade
(BARTP) 914                        does not trade
(BARTP) 915                        does not trade
(BARTP) 916            receives (POLO15) 724           and sends to (MAJZOWNIK) 340
(BARTP) 917                        does not trade
(BARTP) 918                        does not trade
(BARTP) 920                        does not trade
(BARTP) 921                        does not trade
(BARTP) 923            receives (RYSKA) 1034           and sends to (KLANCYG) 1922
(BARTP) 924                        does not trade
(BARTP) 931                        does not trade
(BENNYLENO) 1413                   does not trade
(BENNYLENO) 1415                   does not trade
(BIGBADSHEEP) 1663     receives (SZAFARCZYK5) 266      and sends to (LISEK2000) 1550
(BIGBADSHEEP) 1664                 does not trade
(BIGBADSHEEP) 1665                 does not trade
(BIGBADSHEEP) 1666                 does not trade
(BIGBADSHEEP) 1667                 does not trade
(BIGBADSHEEP) 1668     receives (POLO15) 727           and sends to (MISIENCJUSZ) 1823
(BIGBADSHEEP) 1669     receives (MIKOLAJ1110) 1560     and sends to (PAROOS) 1548
(BIGBADSHEEP) 1670                 does not trade
(BJOZWIAK) 2269                    does not trade
(BJOZWIAK) 2271                    does not trade
(BJOZWIAK) 2278                    does not trade
(BJOZWIAK) 2289        receives (VOYDEN) 111           and sends to (DGRODO) 1446
(BJOZWIAK) 2307                    does not trade
(BJOZWIAK) 2325                    does not trade
(BLEBOK) 1266                      does not trade
(BLEBOK) 828           receives (QUEZZLE) 1569         and sends to (TH13TEEN) 1337
(BLEBOK) 829                       does not trade
(BLEBOK) 830                       does not trade
(BLEBOK) 831                       does not trade
(BLEBOK) 838           receives (PANCOR) 2401          and sends to (PANCOR) 2644
(BLEBOK) 851           receives (PROPI) 414            and sends to (KROMKA) 533
(BLEBOK) 852           receives (SWIROFF) 933          and sends to (KORPOREJSZYN) 1106
(BOBULE) 2054                      does not trade
(BOBULE) 2056          receives (LADZIK) 2349          and sends to (MARSJANKA) 1892
(BOBULE) 2057                      does not trade
(BOBULE) 2058                      does not trade
(BOGAS_9) 1649                     does not trade
(BOGAS_9) 1651         receives (CIUPAKABRA997) 238    and sends to (GRUNWALD) 487
(BOGAS_9) 1652         receives (HRACHUBI) 64          and sends to (SWONICK) 1860
(BOGAS_9) 1653                     does not trade
(BOGAS_9) 1655                     does not trade
(BOGAS_9) 1656         receives (MAJZOWNIK) 340        and sends to (KONRADSTPN) 256
(BOGAS_9) 1657         receives (RALFMARK) 1767        and sends to (SWIROFF) 935
(BOGAS_9) 1658                     does not trade
(BOGAS_9) 1659                     does not trade
(BOGAS_9) 1660                     does not trade
(BORYSX) 1066                      does not trade
(BORYSX) 1067                      does not trade
(BORYSX) 1070                      does not trade
(BORYSX) 1071                      does not trade
(BORYSX) 1073                      does not trade
(BORYSX) 1074                      does not trade
(BORYSX) 1080                      does not trade
(BORYSX) 1081                      does not trade
(BORYSX) 1082                      does not trade
(BORYSX) 1083          receives (RAZUL) 2163           and sends to (XENIR) 697
(BORYSX) 1084                      does not trade
(BORYSX) 1328                      does not trade
(BORYSX) 1866                      does not trade
(BORYSX) 1867                      does not trade
(BORYSX) 1869                      does not trade
(BORYSX) 2573                      does not trade
(BRASAS) 1948                      does not trade
(BRASAS) 1951                      does not trade
(BRASAS) 1978          receives (MDROZDZIOK9595) 1181  and sends to (KLANCYG) 1910
(BRASAS) 1983                      does not trade
(BRASAS) 1992          receives (KLANCYG) 1922         and sends to (PANCOR) 2440
(BRASAS) 1996                      does not trade
(BREGORZ) 1419                     does not trade
(BREGORZ) 1420         receives (MARSJANKA) 1892       and sends to (RODAN77) 1312
(BREGORZ) 1421                     does not trade
(BREGORZ) 1423         receives (SYDONIAA) 9           and sends to (BAARTOSZZ) 2375
(BREGORZ) 1425                     does not trade
(BREGORZ) 1428                     does not trade
(BREGORZ) 1431                     does not trade
(BRILLOWSKI) 1782                  does not trade
(BRILLOWSKI) 1784      receives (POLO15) 731           and sends to (FANTAZYN) 998
(BRILLOWSKI) 1790      receives (JENNY70) 2216         and sends to (MORMAKILL) 84
(BRILLOWSKI) 1791                  does not trade
(BRILLOWSKI) 1794      receives (RUTRA1992) 1295       and sends to (LATERIO) 1952
(BUJNIAQ) 1870                     does not trade
(BUJNIAQ) 1873                     does not trade
(BUJNIAQ) 1874         receives (MANKOSLAW) 2118       and sends to (LADZIK) 2349
(BUJNIAQ) 1876                     does not trade
(BUKIMI) 1068                      does not trade
(BUKIMI) 1069          receives (RAFMIX) 767           and sends to (ANIAW89) 474
(BUKIMI) 1076          receives (ATRAPANTHERA) 839     and sends to (STONEROCK) 871
(BUKIMI) 1327                      does not trade
(BUKIMI) 1330                      does not trade
(CASONPL) 1941                     does not trade
(CASONPL) 1943                     does not trade
(CASONPL) 1945                     does not trade
(CASONPL) 1946                     does not trade
(CHARLIEVEGAN) 1138                does not trade
(CHARLIEVEGAN) 1139    receives (JENNY70) 2239         and sends to (MTNW) 1282
(CHARLIEVEGAN) 2629                does not trade
(CHARLIEVEGAN) 2640    receives (KROMKA) 518           and sends to (JAGASTR) 2285
(CHARLIEVEGAN) 716                 does not trade
(CHARLIEVEGAN) 717     receives (PANNORY) 688          and sends to (LUKASHI) 595
(CHARLIEVEGAN) 718                 does not trade
(CHARLIEVEGAN) 719                 does not trade
(CHARLIEVEGAN) 720                 does not trade
(CHARLIEVEGAN) 721                 does not trade
(CHARLIEVEGAN) 722                 does not trade
(CHESTER1983) 1003                 does not trade
(CHESTER1983) 1004                 does not trade
(CHESTER1983) 1005                 does not trade
(CHESTER1983) 1006                 does not trade
(CHESTER1983) 1007                 does not trade
(CHESTER1983) 1008     receives (SWIROFF) 929          and sends to (SWONICK) 1755
(CHESTER1983) 1009                 does not trade
(CHRAPASZCZ) 316       receives (TYMOTEUSZ7) 544       and sends to (VOYDEN) 134
(CHRAPASZCZ) 317                   does not trade
(CIUPAKABRA997) 238    receives (SILLUE) 2117          and sends to (BOGAS_9) 1651
(CIUPAKABRA997) 239    receives (_SLY_) 453            and sends to (BAARTOSZZ) 389
(CIUPAKABRA997) 240                does not trade
(CIUPAKABRA997) 241                does not trade
(COMFORT EAGLE) 859                does not trade
(COMFORT EAGLE) 860    receives (BAAKA) 368            and sends to (MARUDA_24) 1052
(COMFORT EAGLE) 861    receives (ZAWATERNIOK) 292      and sends to (RAFMIX) 770
(COMFORT EAGLE) 862    receives (FANTAZYN) 997         and sends to (APIEJH) 1650
(COMFORT EAGLE) 863    receives (QRZY88) 1418          and sends to (TAJKOON) 580
(COMFORT EAGLE) 866                does not trade
(COOL_MAX) 18          receives (MAGUN071) 508         and sends to (SZAFARCZYK5) 302
(COOL_MAX) 19                      does not trade
(COOL_MAX) 23          receives (ARAS_SWAJ) 2075       and sends to (XENIR) 694
(COOL_MAX) 29                      does not trade
(COOL_MAX) 46                      does not trade
(COOL_MAX) 54                      does not trade
(COOL_MAX) 75                      does not trade
(COOL_MAX) 85                      does not trade
(CORQAN) 283           receives (ALUCARD8282) 993      and sends to (AFGNCAAP) 702
(CORQAN) 284           receives (AFGNCAAP) 702         and sends to (RYSKAL) 1163
(CORRAN) 436                       does not trade
(CORRAN) 437           receives (RYSKAL) 1142          and sends to (AGAMEMNONXD) 2266
(CORRAN) 438                       does not trade
(CORRAN) 439                       does not trade
(CORRAN) 440                       does not trade
(CORRAN) 441           receives (SWIROFF) 935          and sends to (UNKNOWN0) 465
(CORRAN) 442                       does not trade
(CORRAN) 443                       does not trade
(CORRAN) 444                       does not trade
(CORRAN) 445                       does not trade
(CORRAN) 446           receives (DENINIS) 503          and sends to (MAGUN071) 508
(CORRAN) 447                       does not trade
(CORRAN) 448                       does not trade
(CORRAN) 449                       does not trade
(CORTUMPL) 1732                    does not trade
(CORTUMPL) 1736                    does not trade
(CORTUMPL) 1741                    does not trade
(CWIKS) 331                        does not trade
(CWIKS) 341                        does not trade
(CWIKS) 373                        does not trade
(CWIKS) 407                        does not trade
(CZARNYKAPELUSZ) 1308              does not trade
(DARKERSIDE) 944       receives (BART HENRY) 2284      and sends to (MADZIALENA7) 2104
(DAWTA) 1792           receives (JEDREK) 336           and sends to (PANDORZECZA) 1519
(DAWTA) 1795                       does not trade
(DAWTA) 1796                       does not trade
(DAWTA) 1797                       does not trade
(DAWTA) 1799                       does not trade
(DAWTA) 1800                       does not trade
(DAWTA) 1801                       does not trade
(DAWTA) 1802                       does not trade
(DAWTA) 1803                       does not trade
(DAWTA) 1805                       does not trade
(DAWTA) 1806                       does not trade
(DAWTA) 1808                       does not trade
(DAWTA) 1810                       does not trade
(DAWTA) 1812                       does not trade
(DEEDO72) 2066                     does not trade
(DEEDO72) 2069                     does not trade
(DEEDO72) 2071                     does not trade
(DEEDO72) 2072                     does not trade
(DEEDO72) 2074                     does not trade
(DEEDO72) 2076         receives (UNKNOWN0) 466         and sends to (MIDNIGHTJACK) 2485
(DEEDO72) 2078                     does not trade
(DEEDO72) 2080                     does not trade
(DEEDO72) 2086                     does not trade
(DEEDO72) 2087         receives (JAKUBWAKIEC) 681      and sends to (PALMEREX) 1850
(DEEDO72) 2091                     does not trade
(DEEDO72) 2093         receives (SZAFARCZYK5) 302      and sends to (LASSE LINDSTROM) 2142
(DEEDO72) 2095                     does not trade
(DENINIS) 492          receives (LISEK2000) 1574       and sends to (PANCOR) 2283
(DENINIS) 493          receives (MARUDA_24) 1046       and sends to (RYSKAL) 1142
(DENINIS) 494          receives (MARCINGIELEWSKI) 1092 and sends to (JENNY70) 2216
(DENINIS) 495                      does not trade
(DENINIS) 497                      does not trade
(DENINIS) 498                      does not trade
(DENINIS) 499                      does not trade
(DENINIS) 501          receives (PUSHEENEIRO) 806      and sends to (XENIR) 692
(DENINIS) 503          receives (JOANNAALICJA) 299     and sends to (CORRAN) 446
(DENINIS) 506          receives (JEDREK) 346           and sends to (GABENS29) 203
(DENINIS) 510          receives (LUKASHI) 605          and sends to (PATRYKGALKA) 142
(DENINIS) 514                      does not trade
(DENINIS) 519                      does not trade
(DENINIS) 520                      does not trade
(DENINIS) 521                      does not trade
(DENINIS) 523                      does not trade
(DENINIS) 525          receives (WOOL_F) 2387          and sends to (RHINO055) 1883
(DENINIS) 529                      does not trade
(DENINIS) 532                      does not trade
(DENINIS) 534                      does not trade
(DENINIS) 535          receives (KOSHIASH) 1259        and sends to (PATRYKGALKA) 172
(DENINIS) 536                      does not trade
(DENINIS) 537                      does not trade
(DETRYTUS) 1313                    does not trade
(DETRYTUS) 1314                    does not trade
(DETRYTUS) 1315                    does not trade
(DGRODO) 1432                      does not trade
(DGRODO) 1433          receives (FURAN) 857            and sends to (BART HENRY) 2236
(DGRODO) 1434                      does not trade
(DGRODO) 1435                      does not trade
(DGRODO) 1436                      does not trade
(DGRODO) 1437                      does not trade
(DGRODO) 1438                      does not trade
(DGRODO) 1439          receives (M1SHA) 943            and sends to (PATRYKGALKA) 154
(DGRODO) 1440                      does not trade
(DGRODO) 1442                      does not trade
(DGRODO) 1443                      does not trade
(DGRODO) 1444                      does not trade
(DGRODO) 1445                      does not trade
(DGRODO) 1446          receives (BJOZWIAK) 2289        and sends to (MADZIALENA7) 2105
(DGRODO) 2121                      does not trade
(DGRODO) 2597                      does not trade
(DGRODO) 2598                      does not trade
(DGRODO) 2599                      does not trade
(DGRODO) 2602                      does not trade
(DIBBLER) 560          receives (JAGASTR) 2293         and sends to (KORPOREJSZYN) 1103
(DIBBLER) 561                      does not trade
(DIBBLER) 562                      does not trade
(DIBBLER) 563                      does not trade
(DIBBLER) 564                      does not trade
(DIBBLER) 565                      does not trade
(DIBBLER) 566                      does not trade
(DIBBLER) 567                      does not trade
(DIBBLER) 568          receives (ARAS_SWAJ) 2084       and sends to (SYDONIAA) 47
(DIBBLER) 569          receives (WOOL_F) 2377          and sends to (NEDENO) 630
(DIBBLER) 570                      does not trade
(DOCIA) 2600                       does not trade
(DOCIA) 2601                       does not trade
(DOCIA) 2603                       does not trade
(DOCIA) 2605                       does not trade
(DOCIA) 2606           receives (PIZZACHIP) 757        and sends to (PIZZACHIP) 759
(DOCIA) 2608           receives (KLOS_X) 2547          and sends to (RALFMARK) 1774
(DOCIA) 2610                       does not trade
(DOCIA) 2611           receives (ANIAW89) 477          and sends to (HELLOWEEN85) 2000
(DOCIA) 2613           receives (PATRYKGALKA) 167      and sends to (MARKOO) 2584
(DOCIA) 2618                       does not trade
(DOCIA) 2620                       does not trade
(DOCIA) 2621                       does not trade
(DOCIA) 2622                       does not trade
(DOCIA) 2625                       does not trade
(DOCIA) 2627                       does not trade
(DOCIA) 2631                       does not trade
(DOCIA) 2633                       does not trade
(DOCIA) 2637                       does not trade
(DOCIA) 2639                       does not trade
(DREADGHOST) 2044                  does not trade
(DREADGHOST) 2049                  does not trade
(DREADGHOST) 2051                  does not trade
(ELPRZYBYLLO) 1269     receives (MAMCZAR63) 1233       and sends to (WOOL_F) 2387
(ELPRZYBYLLO) 1270     receives (WARRTAIN) 1172        and sends to (ANOPTICHTYS) 2554
(ELPRZYBYLLO) 1271                 does not trade
(ENDZITREBRON) 1447    receives (KOMIX) 1597           and sends to (RHINO055) 2201
(ENDZITREBRON) 1448    receives (BADO666) 1017         and sends to (POLO15) 729
(FANTAZYN) 997         receives (KURUNIR) 689          and sends to (COMFORT EAGLE) 862
(FANTAZYN) 998         receives (BRILLOWSKI) 1784      and sends to (MIKOLAJ1110) 1555
(FANTAZYN) 999                     does not trade
(FIUFEK) 109                       does not trade
(FIUFEK) 67                        does not trade
(FIUFEK) 69            receives (MUDIABC) 1242         and sends to (LUKASHI) 586
(FIUFEK) 71                        does not trade
(FIUFEK) 73                        does not trade
(FIUFEK) 76                        does not trade
(FIUFEK) 77                        does not trade
(FIUFEK) 83                        does not trade
(FIUFEK) 86                        does not trade
(FIUFEK) 88                        does not trade
(FIUFEK) 89            receives (KRJ_KING) 2342        and sends to (KLANCYG) 1911
(FIUFEK) 91                        does not trade
(FIZOLOF) 2052                     does not trade
(FIZOLOF) 2053         receives (ZGREDZIO13) 1781      and sends to (SYDONIAA) 1890
(FIZOLOF) 2055                     does not trade
(FIZOLOF) 2059                     does not trade
(FIZOLOF) 2060                     does not trade
(FIZOLOF) 2061                     does not trade
(FIZOLOF) 2062                     does not trade
(FIZOLOF) 2063                     does not trade
(FLIEGEN) 1000                     does not trade
(FLIEGEN) 1001         receives (FREYA2226) 2021       and sends to (RYSKA) 1043
(FLIEGEN) 1002         receives (MZEPTER) 1493         and sends to (SIPIO) 1682
(FLIEGEN) 1010                     does not trade
(FLIEGEN) 996                      does not trade
(FPS_PYZ) 1703                     does not trade
(FPS_PYZ) 1704         receives (ANIAW89) 476          and sends to (NOSIADBT1100) 2343
(FPS_PYZ) 1706                     does not trade
(FPS_PYZ) 1708         receives (PROPI) 1168           and sends to (KAMINOINNOCENT) 1993
(FPS_PYZ) 1709                     does not trade
(FPS_PYZ) 1710                     does not trade
(FPS_PYZ) 1712                     does not trade
(FPS_PYZ) 1714                     does not trade
(FPS_PYZ) 1715                     does not trade
(FPS_PYZ) 1718                     does not trade
(FPS_PYZ) 1719         receives (MAYASTY) 874          and sends to (LEINADUS) 706
(FPS_PYZ) 1720                     does not trade
(FPS_PYZ) 1722                     does not trade
(FPS_PYZ) 1723         receives (APRIEL) 849           and sends to (PANCOR) 2424
(FPS_PYZ) 1725                     does not trade
(FPS_PYZ) 1726                     does not trade
(FPS_PYZ) 1727                     does not trade
(FPS_PYZ) 1728                     does not trade
(FPS_PYZ) 1729         receives (PANDORZECZA) 2624     and sends to (PATROL1Q) 1426
(FPS_PYZ) 1730                     does not trade
(FPS_PYZ) 1731         receives (SWONICK) 1844         and sends to (GRUNWALD) 488
(FPS_PYZ) 1734                     does not trade
(FPS_PYZ) 1735                     does not trade
(FPS_PYZ) 1738                     does not trade
(FPS_PYZ) 1739                     does not trade
(FPS_PYZ) 1740         receives (KROMKA) 533           and sends to (_SLY_) 455
(FPS_PYZ) 1742                     does not trade
(FPS_PYZ) 2025         receives (ATOJEST) 1350         and sends to (VOYDEN) 111
(FPS_PYZ) 2029         receives (BAAKA) 351            and sends to (SYDONIAA) 9
(FPS_PYZ) 2032                     does not trade
(FPS_PYZ) 2033         receives (LEINADUS) 602         and sends to (SIPIO) 1676
(FPS_PYZ) 2038                     does not trade
(FPS_PYZ) 2040                     does not trade
(FREYA2226) 2002                   does not trade
(FREYA2226) 2004       receives (RAFMIX) 774           and sends to (PROBBI) 1476
(FREYA2226) 2005       receives (RAFMIX) 770           and sends to (MACCOWY) 1798
(FREYA2226) 2006                   does not trade
(FREYA2226) 2007       receives (RAFMIX) 769           and sends to (SCRABER) 662
(FREYA2226) 2008                   does not trade
(FREYA2226) 2010                   does not trade
(FREYA2226) 2011       receives (PROPI) 1896           and sends to (MANKOSLAW) 2111
(FREYA2226) 2021       receives (GARG) 1372            and sends to (FLIEGEN) 1001
(FREYA2226) 2031                   does not trade
(FURAN) 857            receives (SCRABER) 326          and sends to (DGRODO) 1433
(FURAN) 864                        does not trade
(FURAN) 865                        does not trade
(FURAN) 867                        does not trade
(FURAN) 868                        does not trade
(FYEI) 2559            receives (MORMAKILL) 48         and sends to (RFLA) 327
(GABENS29) 1469        receives (SWIROFF) 895          and sends to (HELLOWEEN85) 854
(GABENS29) 1503                    does not trade
(GABENS29) 1528                    does not trade
(GABENS29) 201                     does not trade
(GABENS29) 202                     does not trade
(GABENS29) 203         receives (DENINIS) 506          and sends to (NUMERNABIS) 1924
(GABENS29) 204                     does not trade
(GABENS29) 205                     does not trade
(GABENS29) 206         receives (AGAMEMNONXD) 2266     and sends to (VORONWE) 878
(GABENS29) 207                     does not trade
(GABENS29) 208         receives (ANAMAN) 473           and sends to (TRINGA) 1127
(GABENS29) 209         receives (MADZIALENA7) 2104     and sends to (QRZY88) 1416
(GABENS29) 2140                    does not trade
(GABENS29) 799                     does not trade
(GARG) 1359                        does not trade
(GARG) 1361            receives (PANCOR) 2394          and sends to (PANCOR) 2405
(GARG) 1363            receives (KONRADSTPN) 279       and sends to (ALUCARD8282) 994
(GARG) 1364                        does not trade
(GARG) 1365                        does not trade
(GARG) 1366                        does not trade
(GARG) 1367                        does not trade
(GARG) 1368                        does not trade
(GARG) 1369                        does not trade
(GARG) 1370            receives (PANCOR) 2440          and sends to (KORPOREJSZYN) 1119
(GARG) 1371            receives (NIEDZIELNYPIONEK) 406 and sends to (ANAMAN) 1135
(GARG) 1372            receives (POLO15) 729           and sends to (FREYA2226) 2021
(GARG) 1373                        does not trade
(GARG) 1374                        does not trade
(GARG) 1375                        does not trade
(GARG) 1376                        does not trade
(GARG) 1377                        does not trade
(GARG) 1378                        does not trade
(GARG) 1379                        does not trade
(GARG) 1380                        does not trade
(GARG) 1381            receives (RYSKAL) 1160          and sends to (PUSHEENEIRO) 2497
(GARG) 1382                        does not trade
(GARG) 1383                        does not trade
(GARG) 1384                        does not trade
(GARG) 1385                        does not trade
(GARG) 1386                        does not trade
(GARG) 1387                        does not trade
(GARG) 1388                        does not trade
(GARG) 1389                        does not trade
(GARG) 1390                        does not trade
(GARG) 1391                        does not trade
(GARG) 1392                        does not trade
(GARG) 1393                        does not trade
(GARG) 1394                        does not trade
(GARG) 1395                        does not trade
(GARG) 1396                        does not trade
(GARG) 1397                        does not trade
(GARG) 1398                        does not trade
(GARG) 1399                        does not trade
(GARG) 1400                        does not trade
(GARG) 1401                        does not trade
(GARG) 1402                        does not trade
(GARG) 1403                        does not trade
(GARG) 1404                        does not trade
(GARG) 1405            receives (PANCOR) 2644          and sends to (JNOWACZY) 431
(GARG) 1406                        does not trade
(GARG) 1407                        does not trade
(GARG) 1408                        does not trade
(GARG) 1409                        does not trade
(GARG) 1410                        does not trade
(GOLEBIOWSKI) 496      receives (KLOS_X) 2537          and sends to (JAGASTR) 2275
(GRAFI1984) 2064                   does not trade
(GRAFI1984) 2065       receives (TH13TEEN) 1339        and sends to (VDER) 2106
(GRAFI1984) 2067       receives (TAMARAPL) 1126        and sends to (KLANCYG) 1906
(GRAFI1984) 2068                   does not trade
(GRAFI1984) 2073                   does not trade
(GREKOL) 1672                      does not trade
(GREKOL) 1673                      does not trade
(GREKOL) 1674                      does not trade
(GREKOL) 1675                      does not trade
(GRIMCLASH) 1209                   does not trade
(GRIMCLASH) 1210                   does not trade
(GRIMCLASH) 1211                   does not trade
(GRIMCLASH) 1212                   does not trade
(GRIMCLASH) 1213       receives (BAAKA) 356            and sends to (ANIAW89) 475
(GRIMCLASH) 1214                   does not trade
(GRIMCLASH) 1215                   does not trade
(GRIMCLASH) 1216                   does not trade
(GRIMCLASH) 1217                   does not trade
(GRIMCLASH) 1218                   does not trade
(GRIMCLASH) 1220                   does not trade
(GRIMCLASH) 1221                   does not trade
(GRIMCLASH) 1222       receives (BAARTOSZZ) 2375       and sends to (RAISTLINJEDYNY) 1250
(GRIMCLASH) 1232       receives (TH13TEEN) 1338        and sends to (PANCOR) 2437
(GRIMCLASH) 1234                   does not trade
(GRUNWALD) 486                     does not trade
(GRUNWALD) 487         receives (BOGAS_9) 1651         and sends to (RYSKAL) 1161
